instance timestamp,query,domain size,run id,itr exponent,itr start,itr end,itr num,tuples added,bag semantics,max bag size,processor,number_of_witnesses,lp_results: witness_computation_time,lp_results: number_of_witnesses,lp_results: number_of_tuples,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: GDP,lp_results: error,ilp_results: witness_computation_time,ilp_results: number_of_witnesses,ilp_results: number_of_tuples,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: GDP,ilp_results: error,ilp_results_old: witness_computation_time,ilp_results_old: number_of_witnesses,ilp_results_old: number_of_tuples,ilp_results_old: Solve Time,ilp_results_old: Solver Solution Time,ilp_results_old: GDP,ilp_results_old: error,lp_results_old: witness_computation_time,lp_results_old: number_of_witnesses,lp_results_old: number_of_tuples,lp_results_old: Solve Time,lp_results_old: Solver Solution Time,lp_results_old: GDP,lp_results_old: error
1730231292.857093,rsa,500,1730231283.408741,2.032064128256513,0.5,6,500,107,False,0,x86_64,1,0.06129973754286766,212,106,0.08378306776285172,0.08359718322753906,-103.0,,0.06605290621519089,212,106,0.07805694453418255,0.07793688774108887,-103.0,,0.06439238414168358,212,106,0.15616625733673573,0.15604496002197266,-103.0,,0.0838831216096878,212,106,0.06613094732165337,0.06599688529968262,-103.0,
1730231293.592561,rsa,500,1730231283.408741,2.0430861723446894,0.5,6,500,110,False,0,x86_64,1,0.06368446908891201,218,109,0.06323754042387009,0.06312251091003418,-106.0,,0.06894067488610744,218,109,0.10935735888779163,0.10924077033996582,-106.0,,0.07640763558447361,218,109,0.09153252840042114,0.09141087532043457,-106.0,,0.06753122806549072,218,109,0.18643616698682308,0.18631458282470703,-106.0,
1730231294.392112,rsa,500,1730231283.408741,2.0541082164328657,0.5,6,500,113,False,0,x86_64,1,0.07627392746508121,224,112,0.0597490519285202,0.05962824821472168,-109.0,,0.06616800837218761,224,112,0.0637357272207737,0.0636129379272461,-109.0,,0.06446537002921104,224,112,0.06693794578313828,0.06682443618774414,-109.0,,0.06618311628699303,224,112,0.07647250406444073,0.07635784149169922,-109.0,
1730231295.020901,rsa,500,1730231283.408741,2.065130260521042,0.5,6,500,116,False,0,x86_64,1,0.07676918059587479,230,115,0.0783063042908907,0.0781865119934082,-112.0,,0.06770394742488861,230,115,0.062103476375341415,0.061989784240722656,-112.0,,0.06485310569405556,230,115,0.07744367606937885,0.07729768753051758,-112.0,,0.0775945857167244,230,115,0.09679203480482101,0.09667205810546875,-112.0,
1730231295.716852,rsa,500,1730231283.408741,2.0761523046092183,0.5,6,500,119,False,0,x86_64,1,0.0746120847761631,236,118,0.10145986080169678,0.10134124755859375,-115.0,,0.07190412282943726,236,118,0.13817927241325378,0.1380610466003418,-115.0,,0.08623631298542023,236,118,0.35046330094337463,0.35033273696899414,-115.0,,0.09054516442120075,236,118,0.0720836166292429,0.0719614028930664,-115.0,
1730231296.798331,rsa,500,1730231283.408741,2.0871743486973946,0.5,6,500,122,False,0,x86_64,1,0.06516275182366371,242,121,0.09666405618190765,0.09654760360717773,-118.0,,0.07143954001367092,242,121,0.06985881179571152,0.06974148750305176,-118.0,,0.0698932334780693,242,121,0.0849582701921463,0.0848395824432373,-118.0,,0.06591140478849411,242,121,0.1986580677330494,0.19853806495666504,-118.0,
1730231297.601353,rsa,500,1730231283.408741,2.098196392785571,0.5,6,500,125,False,0,x86_64,1,0.07854857109487057,248,124,0.0764409638941288,0.07632160186767578,-121.0,,0.07280249521136284,248,124,0.0769516620784998,0.07683777809143066,-121.0,,0.06908483803272247,248,124,0.08270745538175106,0.08259415626525879,-121.0,,0.06512206420302391,248,124,0.15897763147950172,0.15884995460510254,-121.0,
1730231298.374951,rsa,500,1730231283.408741,2.1092184368737477,0.5,6,500,128,False,0,x86_64,1,0.07438957504928112,254,127,0.09781007654964924,0.09769177436828613,-124.0,,0.09613366052508354,254,127,0.0823940560221672,0.08225393295288086,-124.0,,0.08802057430148125,254,127,0.08604617230594158,0.08592367172241211,-124.0,,0.06887082010507584,254,127,0.1015845276415348,0.10145115852355957,-124.0,
1730231299.160514,rsa,500,1730231283.408741,2.120240480961924,0.5,6,500,131,False,0,x86_64,1,0.0734152402728796,256,128,0.12793702445924282,0.12783551216125488,-125.0,,0.09643621928989887,256,128,0.08955412544310093,0.08942008018493652,-125.0,,0.0776940081268549,256,128,0.08670913241803646,0.08659076690673828,-125.0,,0.0658925473690033,256,128,0.07418925687670708,0.07407045364379883,-125.0,
1730231299.977622,rsa,500,1730231283.408741,2.1312625250501003,0.5,6,500,135,False,0,x86_64,1,0.06397751532495022,264,132,0.08046381920576096,0.08034443855285645,-129.0,,0.06706090085208416,264,132,0.08596189133822918,0.08584260940551758,-129.0,,0.06988472118973732,264,132,0.09336628392338753,0.09325289726257324,-129.0,,0.06603200361132622,264,132,0.07687341049313545,0.07675361633300781,-129.0,
1730231300.672923,rsa,500,1730231283.408741,2.1422845691382766,0.5,6,500,138,False,0,x86_64,1,0.06885113380849361,270,135,0.11722593195736408,0.11710619926452637,-132.0,,0.08561073429882526,270,135,0.1402462013065815,0.1401205062866211,-132.0,,0.08614192716777325,270,135,0.07125006802380085,0.07111310958862305,-132.0,,0.06786749698221684,270,135,0.11360080726444721,0.11347341537475586,-132.0,
1730231301.51254,rsa,500,1730231283.408741,2.153306613226453,0.5,6,500,142,False,0,x86_64,2,0.07837503217160702,276,138,0.10838832706212997,0.10825109481811523,-132.0,,0.08559566922485828,276,138,0.10371419973671436,0.10359454154968262,-132.0,,0.06685706786811352,276,138,0.07741499319672585,0.07729697227478027,-132.0,,0.06897119991481304,276,138,0.06185816042125225,0.06174349784851074,-132.0,
1730231302.270512,rsa,500,1730231283.408741,2.1643286573146296,0.5,6,500,145,False,0,x86_64,2,0.0676499530673027,282,141,0.22688164561986923,0.2267451286315918,-135.0,,0.09295463189482689,282,141,0.07257603667676449,0.07245206832885742,-135.0,,0.0690567959100008,282,141,0.06313388794660568,0.0630178451538086,-135.0,,0.06760851852595806,282,141,0.08780055493116379,0.08768367767333984,-135.0,
