instance timestamp,query,domain size,run id,itr exponent,itr start,itr end,itr num,tuples added,bag semantics,max bag size,processor,number_of_witnesses,lp_results: witness_computation_time,lp_results: number_of_witnesses,lp_results: number_of_tuples,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: GDP,lp_results: error,ilp_results: witness_computation_time,ilp_results: number_of_witnesses,ilp_results: number_of_tuples,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: GDP,ilp_results: error
1730393558.33354,hc-sj-ucq,1000,1730393472.85962,2.7044088176352705,0.5,6,500,506,False,0,x86_64,2,0.14328880421817303,507,506,1.750606156885624,1.750399112701416,-505.0,,0.17577496729791164,507,506,1.9674778245389462,1.9673371315002441,-505.0,
1730393563.18338,hc-sj-ucq,1000,1730393472.85962,2.715430861723447,0.5,6,500,519,False,0,x86_64,2,0.1480435412377119,520,519,2.4776047840714455,2.477463483810425,-518.0,,0.18494979664683342,520,519,4.009960183873773,4.009816884994507,-518.0,
1730393570.732793,hc-sj-ucq,1000,1730393472.85962,2.7264529058116236,0.5,6,500,532,False,0,x86_64,2,0.15531592816114426,533,532,0.6321336813271046,0.6319832801818848,-531.0,,0.1879090964794159,533,532,2.2545863650739193,2.254434585571289,-531.0,
1730393574.654989,hc-sj-ucq,1000,1730393472.85962,2.7374749498998,0.5,6,500,546,False,0,x86_64,2,0.15743162296712399,547,546,0.9674293827265501,0.9672882556915283,-545.0,,0.1897389218211174,547,546,0.8174617104232311,0.8173110485076904,-545.0,
1730393577.295309,hc-sj-ucq,1000,1730393472.85962,2.748496993987976,0.5,6,500,560,False,0,x86_64,2,0.15932839177548885,561,560,2.0057486798614264,2.0055813789367676,-559.0,,0.1887658406049013,561,560,2.0460619870573282,2.045891284942627,-559.0,
1730393582.286498,hc-sj-ucq,1000,1730393472.85962,2.7595190380761525,0.5,6,500,574,False,0,x86_64,2,0.15387294813990593,575,574,2.5967892836779356,2.596646547317505,-573.0,,0.18713628873229027,575,574,0.9874351508915424,0.9872937202453613,-573.0,
1730393586.627802,hc-sj-ucq,1000,1730393472.85962,2.770541082164329,0.5,6,500,589,False,0,x86_64,2,0.16583653539419174,590,589,0.6579198185354471,0.6577632427215576,-588.0,,0.1956193931400776,590,589,1.7498232908546925,1.7496750354766846,-588.0,
1730393589.8251,hc-sj-ucq,1000,1730393472.85962,2.781563126252505,0.5,6,500,604,False,0,x86_64,2,0.16844911687076092,605,604,0.7271505352109671,0.7269959449768066,-603.0,,0.20125706307590008,605,604,0.6860373727977276,0.6858618259429932,-603.0,
1730393592.015699,hc-sj-ucq,1000,1730393472.85962,2.7925851703406814,0.5,6,500,620,False,0,x86_64,2,0.1702792141586542,621,620,1.0114817451685667,1.0113296508789062,-619.0,,0.2047278806567192,621,620,1.234464529901743,1.2343173027038574,-619.0,
1730393594.972461,hc-sj-ucq,1000,1730393472.85962,2.8036072144288577,0.5,6,500,636,False,0,x86_64,2,0.20576176047325134,637,636,1.0635065715759993,1.0633833408355713,-635.0,,0.2024342082440853,637,636,2.223657425493002,2.2234983444213867,-635.0,
1730393599.294271,hc-sj-ucq,1000,1730393472.85962,2.814629258517034,0.5,6,500,652,False,0,x86_64,2,0.17320281080901623,653,652,3.208247199654579,3.208104372024536,-651.0,,0.20682385377585888,653,652,2.695042347535491,2.6948728561401367,-651.0,
1730393606.135607,hc-sj-ucq,1000,1730393472.85962,2.8256513026052104,0.5,6,500,669,False,0,x86_64,2,0.1790362410247326,670,669,2.2931523248553276,2.2929811477661133,-668.0,,0.20079123601317406,670,669,2.9636469911783934,2.963510751724243,-668.0,
1730393612.445561,hc-sj-ucq,1000,1730393472.85962,2.836673346693387,0.5,6,500,686,False,0,x86_64,2,0.1796556208282709,687,686,1.6267365608364344,1.6265649795532227,-685.0,,0.21875274367630482,687,686,1.0186063274741173,1.0183565616607666,-685.0,
1730393615.998728,hc-sj-ucq,1000,1730393472.85962,2.8476953907815634,0.5,6,500,704,False,0,x86_64,2,0.18265350349247456,705,704,1.865904912352562,1.8657596111297607,-703.0,,0.21423157677054405,705,704,1.213772427290678,1.2136247158050537,-703.0,
1730393619.924263,hc-sj-ucq,1000,1730393472.85962,2.8587174348697397,0.5,6,500,722,False,0,x86_64,2,0.22880897112190723,723,722,0.9426081050187349,0.9424631595611572,-721.0,,0.22098925709724426,723,722,0.6127380486577749,0.6125726699829102,-721.0,
1730393622.422419,hc-sj-ucq,1000,1730393472.85962,2.869739478957916,0.5,6,500,740,False,0,x86_64,2,0.1795885693281889,741,740,0.8559035453945398,0.8557579517364502,-739.0,,0.2153003253042698,741,740,1.4304637350142002,1.4303207397460938,-739.0,
1730393625.60787,hc-sj-ucq,1000,1730393472.85962,2.8807615230460923,0.5,6,500,759,False,0,x86_64,2,0.1901621874421835,760,759,0.9857263099402189,0.9855670928955078,-758.0,,0.22245359048247337,760,759,1.4675459284335375,1.467391014099121,-758.0,
1730393629.06085,hc-sj-ucq,1000,1730393472.85962,2.8917835671342687,0.5,6,500,779,False,0,x86_64,2,0.19233266450464725,780,779,3.3238916974514723,3.3237264156341553,-778.0,,0.2269675750285387,780,779,5.101241946220398,5.101084232330322,-778.0,
1730393638.979247,hc-sj-ucq,1000,1730393472.85962,2.902805611222445,0.5,6,500,799,False,0,x86_64,2,0.19497656635940075,800,799,6.012825237587094,6.012685537338257,-798.0,,0.22349819168448448,800,799,1.750744266435504,1.7505958080291748,-798.0,
1730393647.780694,hc-sj-ucq,1000,1730393472.85962,2.9138276553106213,0.5,6,500,820,False,0,x86_64,2,0.19274169392883778,821,820,2.0639387015253305,2.0637857913970947,-819.0,,0.2229695450514555,821,820,1.9162050038576126,1.91605544090271,-819.0,
1730393652.680621,hc-sj-ucq,1000,1730393472.85962,2.9248496993987976,0.5,6,500,841,False,0,x86_64,2,0.20279863104224205,842,841,1.7834782879799604,1.783315658569336,-840.0,,0.2385264877229929,842,841,1.110278569161892,1.1101148128509521,-840.0,
1730393656.633632,hc-sj-ucq,1000,1730393472.85962,2.935871743486974,0.5,6,500,862,False,0,x86_64,4,0.20830618776381016,864,862,1.8686710353940725,1.868513822555542,-860.0,,0.2423830535262823,864,862,-1,-1,-1,PuLP: Error while trying to execute gurobi_cl
1730393660.856541,hc-sj-ucq,1000,1730393472.85962,2.9468937875751506,0.5,6,500,884,False,0,x86_64,4,0.21159128099679947,886,884,5.696377567946911,5.696237087249756,-882.0,,0.24199300445616245,886,884,1.695424571633339,1.6952722072601318,-882.0,
1730393669.483523,hc-sj-ucq,1000,1730393472.85962,2.957915831663327,0.5,6,500,907,False,0,x86_64,4,0.20642559975385666,909,907,3.3335253670811653,3.333376407623291,-905.0,,0.23549937084317207,909,907,1.6963317524641752,1.69618821144104,-905.0,
1730393675.449529,hc-sj-ucq,1000,1730393472.85962,2.9689378757515033,0.5,6,500,930,False,0,x86_64,4,0.20856446027755737,932,930,0.5978650487959385,0.5977206230163574,-928.0,,0.23871214501559734,932,930,1.1225368957966566,1.122389554977417,-928.0,
1730393678.061272,hc-sj-ucq,1000,1730393472.85962,2.9799599198396796,0.5,6,500,954,False,0,x86_64,4,0.21357185952365398,956,954,1.8414386827498674,1.8412978649139404,-952.0,,0.2461862713098526,956,954,1.326765701174736,1.326639175415039,-952.0,
