instance timestamp,query,domain size,run id,itr exponent,itr start,itr end,itr num,tuples added,bag semantics,max bag size,processor,number_of_witnesses,lp_results: witness_computation_time,lp_results: number_of_witnesses,lp_results: number_of_tuples,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: GDP,lp_results: error,ilp_results: witness_computation_time,ilp_results: number_of_witnesses,ilp_results: number_of_tuples,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: GDP,ilp_results: error
1730307678.803942,hc-sj-ucq,1000,1730307653.537862,3.0130260521042085,0.5,6,500,1030,False,0,x86_64,3,0.07373878732323647,0,3,0.169383080676198,0.16911554336547852,1.0,,0.10740472935140133,0,3,0.05417976528406143,0.05402851104736328,1.0,
1730307679.427052,hc-sj-ucq,1000,1730307653.537862,3.024048096192385,0.5,6,500,1056,False,0,x86_64,3,0.08424738235771656,0,3,0.05765019357204437,0.05750417709350586,1.0,,0.08844130858778954,0,3,0.13653520122170448,0.13639092445373535,1.0,
1730307680.047598,hc-sj-ucq,1000,1730307653.537862,3.035070140280561,0.5,6,500,1084,False,0,x86_64,3,0.08496025204658508,0,3,0.05910959653556347,0.05896925926208496,1.0,,0.0899400394409895,0,3,0.10074151307344437,0.10059261322021484,1.0,
1730307680.655135,hc-sj-ucq,1000,1730307653.537862,3.0460921843687374,0.5,6,500,1111,False,0,x86_64,3,0.08546167984604836,0,3,0.05787726677954197,0.05773568153381348,1.0,,0.09009863995015621,0,3,0.07229338586330414,0.07214832305908203,1.0,
1730307681.245632,hc-sj-ucq,1000,1730307653.537862,3.057114228456914,0.5,6,500,1140,False,0,x86_64,3,0.10725582391023636,0,3,0.07195227406919003,0.07181715965270996,1.0,,0.11246023140847683,0,3,0.11065161600708961,0.11050915718078613,1.0,
1730307681.917448,hc-sj-ucq,1000,1730307653.537862,3.0681362725450905,0.5,6,500,1169,False,0,x86_64,3,0.10997268371284008,0,3,0.31933760084211826,0.319180965423584,1.0,,0.14573980122804642,0,3,0.0818807315081358,0.08174276351928711,1.0,
1730307682.856079,hc-sj-ucq,1000,1730307653.537862,3.079158316633267,0.5,6,500,1199,False,0,x86_64,3,0.08821006491780281,0,3,0.12492113560438156,0.12477517127990723,1.0,,0.13154567778110504,0,3,0.14310082979500294,0.14293289184570312,1.0,
1730307683.61599,hc-sj-ucq,1000,1730307653.537862,3.090180360721443,0.5,6,500,1230,False,0,x86_64,3,0.08998459577560425,0,3,0.11159242317080498,0.11145639419555664,1.0,,0.09251483529806137,0,3,0.33672231808304787,0.33656740188598633,1.0,
1730307684.54257,hc-sj-ucq,1000,1730307653.537862,3.1012024048096194,0.5,6,500,1262,False,0,x86_64,3,0.11112359911203384,0,3,0.27184797264635563,0.27170801162719727,1.0,,0.15587118826806545,0,3,0.12316589616239071,0.12302446365356445,1.0,
1730307685.515014,hc-sj-ucq,1000,1730307653.537862,3.1122244488977957,0.5,6,500,1294,False,0,x86_64,3,0.11409050412476063,0,3,0.3360454607754946,0.33590054512023926,1.0,,0.15125689841806889,0,3,0.3403022065758705,0.34014248847961426,1.0,
1730307686.741529,hc-sj-ucq,1000,1730307653.537862,3.123246492985972,0.5,6,500,1328,False,0,x86_64,3,0.09325198084115982,0,3,0.08821148984134197,0.0880582332611084,1.0,,0.11073806881904602,0,3,0.07774979993700981,0.07761549949645996,1.0,
1730307687.410585,hc-sj-ucq,1000,1730307653.537862,3.1342685370741483,0.5,6,500,1362,False,0,x86_64,3,0.1166403591632843,0,3,0.0840887799859047,0.08394527435302734,1.0,,0.12289158627390862,0,3,0.0883962083607912,0.08825397491455078,1.0,
1730307688.105987,hc-sj-ucq,1000,1730307653.537862,3.1452905811623246,0.5,6,500,1397,False,0,x86_64,3,0.09493380039930344,0,3,0.22563939914107323,0.22549080848693848,1.0,,0.13180464319884777,0,3,0.05951436795294285,0.0593721866607666,1.0,
1730307688.904651,hc-sj-ucq,1000,1730307653.537862,3.156312625250501,0.5,6,500,1433,False,0,x86_64,3,0.09672436118125916,0,3,0.3557864036411047,0.3556394577026367,1.0,,0.13516549952328205,0,3,0.39627555571496487,0.39612674713134766,1.0,
1730307690.172754,hc-sj-ucq,1000,1730307653.537862,3.1673346693386777,0.5,6,500,1470,False,0,x86_64,3,0.12083458341658115,0,3,0.09202137030661106,0.09189033508300781,1.0,,0.12620862759649754,0,3,0.12823008559644222,0.1280820369720459,1.0,
1730307690.968026,hc-sj-ucq,1000,1730307653.537862,3.178356713426854,0.5,6,500,1507,False,0,x86_64,3,0.12370868772268295,0,3,0.08738247491419315,0.08723926544189453,1.0,,0.14034433104097843,0,3,0.26444197073578835,0.2643013000488281,1.0,
1730307691.890564,hc-sj-ucq,1000,1730307653.537862,3.1893787575150303,0.5,6,500,1546,False,0,x86_64,3,0.1261742953211069,0,3,0.11160564422607422,0.11147212982177734,1.0,,0.13351268507540226,0,3,0.28223760053515434,0.282092809677124,1.0,
1730307692.859184,hc-sj-ucq,1000,1730307653.537862,3.2004008016032066,0.5,6,500,1586,False,0,x86_64,4,0.1262517049908638,0,5,0.3167124558240175,0.3165714740753174,1.0,,0.16601260378956795,0,5,0.11393241584300995,0.11378288269042969,1.0,
1730307693.900789,hc-sj-ucq,1000,1730307653.537862,3.211422845691383,0.5,6,500,1627,False,0,x86_64,4,0.1277515571564436,0,5,0.08732866309583187,0.08719515800476074,1.0,,0.1409070435911417,0,5,0.07931418530642986,0.07915925979614258,1.0,
