instance timestamp,query,domain size,run id,itr exponent,itr start,itr end,itr num,tuples added,bag semantics,max bag size,processor,number_of_witnesses,adpk,lp_results: witness_computation_time,lp_results: number_of_witnesses,lp_results: number_of_tuples,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: GDP,lp_results: error,ilp_results: witness_computation_time,ilp_results: number_of_witnesses,ilp_results: number_of_tuples,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: GDP,ilp_results: error
1730278293.63088,hc-sj-ucq,50,1730278283.804208,1.4919839679358717,0.5,6,500,31,False,0,x86_64,3,0,0.0750361755490303,0,31,0.14475117065012455,0.14452362060546875,0.0,,0.07719320245087147,0,31,0.06053502857685089,0.06040811538696289,0.0,
1730278294.098225,hc-sj-ucq,50,1730278283.804208,1.503006012024048,0.5,6,500,31,False,0,x86_64,3,0,0.07426502369344234,0,31,0.057927198708057404,0.057802438735961914,0.0,,0.07680170051753521,0,31,0.06834123097360134,0.06821203231811523,0.0,
1730278294.473916,hc-sj-ucq,50,1730278283.804208,1.5140280561122246,0.5,6,500,32,False,0,x86_64,3,0,0.07497990503907204,0,32,0.07417177967727184,0.07404899597167969,0.0,,0.07715911231935024,0,32,0.05335680581629276,0.05323672294616699,0.0,
1730278294.837432,hc-sj-ucq,50,1730278283.804208,1.5250501002004009,0.5,6,500,33,False,0,x86_64,3,0,0.07463406398892403,0,33,0.06215878576040268,0.06202983856201172,0.0,,0.0767984427511692,0,33,0.06903630867600441,0.06891322135925293,0.0,
1730278295.215512,hc-sj-ucq,50,1730278283.804208,1.5360721442885772,0.5,6,500,34,False,0,x86_64,3,0,0.07566219381988049,0,34,0.07549714110791683,0.07537317276000977,0.0,,0.07787764817476273,0,34,0.07367485947906971,0.07355260848999023,0.0,
1730278295.629719,hc-sj-ucq,50,1730278283.804208,1.5470941883767535,0.5,6,500,35,False,0,x86_64,3,0,0.07537541911005974,0,35,0.0641519483178854,0.0640256404876709,0.0,,0.0778470654040575,0,35,0.0549816582351923,0.05484604835510254,0.0,
1730278296.023539,hc-sj-ucq,50,1730278283.804208,1.55811623246493,0.5,6,500,36,False,0,x86_64,3,0,0.07623241282999516,0,36,0.061816733330488205,0.06168794631958008,0.0,,0.07865783013403416,0,36,0.05923042260110378,0.05909585952758789,0.0,
1730278296.401647,hc-sj-ucq,50,1730278283.804208,1.5691382765531063,0.5,6,500,37,False,0,x86_64,3,0,0.07644512318074703,0,37,0.04805031791329384,0.04792165756225586,0.0,,0.07827939093112946,0,37,0.05564728192985058,0.055522918701171875,0.0,
1730278296.740948,hc-sj-ucq,50,1730278283.804208,1.5801603206412826,0.5,6,500,38,False,0,x86_64,3,0,0.07499942369759083,0,38,0.05345192924141884,0.05332660675048828,0.0,,0.07905921712517738,0,38,0.0636033695191145,0.06346631050109863,0.0,
1730278297.100156,hc-sj-ucq,50,1730278283.804208,1.591182364729459,0.5,6,500,39,False,0,x86_64,3,0,0.07643711753189564,0,39,0.05012222193181515,0.04999995231628418,0.0,,0.07900427654385567,0,39,0.06720396503806114,0.0670773983001709,0.0,
1730278297.454654,hc-sj-ucq,50,1730278283.804208,1.6022044088176353,0.5,6,500,40,False,0,x86_64,3,0,0.077283238992095,0,40,0.058464162051677704,0.05833578109741211,0.0,,0.07800636440515518,0,40,0.068331029266119,0.0682070255279541,0.0,
1730278297.831888,hc-sj-ucq,50,1730278283.804208,1.6132264529058118,0.5,6,500,41,False,0,x86_64,3,0,0.07717049494385719,0,41,0.07651000842452049,0.07637929916381836,0.0,,0.0786205567419529,0,41,0.07496160827577114,0.0748283863067627,0.0,
