instance timestamp,query,domain size,run id,itr exponent,itr start,itr end,itr num,tuples added,bag semantics,max bag size,processor,number_of_witnesses,lp_results: witness_computation_time,lp_results: number_of_witnesses,lp_results: number_of_tuples,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: GDP,lp_results: error,ilp_results: witness_computation_time,ilp_results: number_of_witnesses,ilp_results: number_of_tuples,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: GDP,ilp_results: error,ilp_results_old: witness_computation_time,ilp_results_old: number_of_witnesses,ilp_results_old: number_of_tuples,ilp_results_old: Solve Time,ilp_results_old: Solver Solution Time,ilp_results_old: GDP,ilp_results_old: error,lp_results_old: witness_computation_time,lp_results_old: number_of_witnesses,lp_results_old: number_of_tuples,lp_results_old: Solve Time,lp_results_old: Solver Solution Time,lp_results_old: GDP,lp_results_old: error
1730231320.684529,hc-star-3,500,1730231284.421389,2.6052104208416833,0.5,6,500,402,False,0,x86_64,1,0.13127248361706734,788,394,0.8865432534366846,0.8863506317138672,-390.0,,0.14841052517294884,788,394,0.35111566819250584,0.35099220275878906,-390.0,,0.15244719944894314,788,394,0.19887893460690975,0.1987628936767578,-390.0,,0.14649832993745804,788,394,0.5146925952285528,0.5145721435546875,-390.0,
1730231323.474124,hc-star-3,500,1730231284.421389,2.61623246492986,0.5,6,500,413,False,0,x86_64,1,0.12678014114499092,810,405,0.547023368999362,0.5468921661376953,-401.0,,0.15509875118732452,810,405,0.35411956161260605,0.3539888858795166,-401.0,,0.15695693157613277,810,405,0.41581956669688225,0.4156975746154785,-401.0,,0.14423853158950806,810,405,0.668978238478303,0.6688485145568848,-401.0,
1730231326.273148,hc-star-3,500,1730231284.421389,2.6272545090180364,0.5,6,500,423,False,0,x86_64,1,0.1316215805709362,830,415,0.48096536099910736,0.48084306716918945,-411.0,,0.18263578042387962,830,415,0.28952023573219776,0.28942060470581055,-411.0,,0.15618642047047615,830,415,0.7087005767971277,0.7085747718811035,-411.0,,0.15955929644405842,830,415,0.9997649434953928,0.9996380805969238,-411.0,
1730231329.70449,hc-star-3,500,1730231284.421389,2.6382765531062127,0.5,6,500,434,False,0,x86_64,1,0.13378376327455044,850,425,0.5308418199419975,0.5305297374725342,-421.0,,0.15801401995122433,850,425,0.35204107500612736,0.351917028427124,-421.0,,0.15303294360637665,850,425,0.6371224094182253,0.6370034217834473,-421.0,,0.14690806157886982,850,425,0.4215574190020561,0.42143726348876953,-421.0,
1730231332.47933,hc-star-3,500,1730231284.421389,2.649298597194389,0.5,6,500,445,False,0,x86_64,1,0.12942847423255444,872,436,0.5271156877279282,0.5269949436187744,-432.0,,0.15912847593426704,872,436,0.46783059276640415,0.46770453453063965,-432.0,,0.15683169104158878,872,436,0.42720064148306847,0.42708325386047363,-432.0,,0.15856769308447838,872,436,0.6045267749577761,0.6044001579284668,-432.0,
1730231335.358013,hc-star-3,500,1730231284.421389,2.6603206412825653,0.5,6,500,457,False,0,x86_64,1,0.13316706754267216,894,447,0.3929662313312292,0.3928380012512207,-443.0,,0.1538820043206215,894,447,0.6991352159529924,0.6990008354187012,-443.0,,0.1586452703922987,894,447,0.7288966849446297,0.7287495136260986,-443.0,,0.16332988254725933,894,447,0.9829776789993048,0.9828472137451172,-443.0,
1730231339.021545,hc-star-3,500,1730231284.421389,2.6713426853707416,0.5,6,500,469,False,0,x86_64,1,0.13216761127114296,918,459,0.5167616978287697,0.5166316032409668,-455.0,,0.1645405888557434,918,459,0.5273946542292833,0.5272676944732666,-455.0,,0.15925193205475807,918,459,0.6973908804357052,0.6972808837890625,-455.0,,0.15934887528419495,918,459,0.4504644926637411,0.45033788681030273,-455.0,
1730231342.119964,hc-star-3,500,1730231284.421389,2.682364729458918,0.5,6,500,481,False,0,x86_64,1,0.13407754339277744,940,470,0.5493815317749977,0.5492510795593262,-466.0,,0.1577639114111662,940,470,0.4227619618177414,0.4226193428039551,-466.0,,0.16033026203513145,940,470,0.5502314493060112,0.5500993728637695,-466.0,,0.15604970045387745,940,470,0.357117997482419,0.35698914527893066,-466.0,
1730231344.852622,hc-star-3,500,1730231284.421389,2.693386773547094,0.5,6,500,493,False,0,x86_64,1,0.13712140917778015,962,481,0.46317049115896225,0.46303319931030273,-477.0,,0.15682056918740273,962,481,0.485061876475811,0.4849369525909424,-477.0,,0.1597942803055048,962,481,0.3524657618254423,0.3523392677307129,-477.0,,0.15643642283976078,962,481,0.5244578029960394,0.5243358612060547,-477.0,
1730231347.600349,hc-star-3,500,1730231284.421389,2.7044088176352705,0.5,6,500,506,False,0,x86_64,2,0.13701518066227436,986,493,0.5638919770717621,0.5637705326080322,-485.0,,0.1672621387988329,986,493,0.3766924664378166,0.3765676021575928,-485.0,,0.16205346398055553,986,493,0.2721564508974552,0.2720344066619873,-485.0,,0.16250049695372581,986,493,0.36631517112255096,0.36618947982788086,-485.0,
