instance timestamp,query,domain size,run id,itr exponent,itr start,itr end,itr num,tuples added,bag semantics,max bag size,processor,number_of_witnesses,lp_results: witness_computation_time,lp_results: number_of_witnesses,lp_results: number_of_tuples,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: GDP,lp_results: error,ilp_results: witness_computation_time,ilp_results: number_of_witnesses,ilp_results: number_of_tuples,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: GDP,ilp_results: error,ilp_results_old: witness_computation_time,ilp_results_old: number_of_witnesses,ilp_results_old: number_of_tuples,ilp_results_old: Solve Time,ilp_results_old: Solver Solution Time,ilp_results_old: GDP,ilp_results_old: error,lp_results_old: witness_computation_time,lp_results_old: number_of_witnesses,lp_results_old: number_of_tuples,lp_results_old: Solve Time,lp_results_old: Solver Solution Time,lp_results_old: GDP,lp_results_old: error
1730231290.108303,rsa,1000,1730231284.418731,2.2404809619238475,2.0,6,500,173,False,0,x86_64,1,0.0873708464205265,340,170,0.2741740867495537,0.27396702766418457,-167.0,,0.10904518328607082,340,170,0.21005674824118614,0.20994210243225098,-167.0,,0.10371909663081169,340,170,0.24540293402969837,0.245286226272583,-167.0,,0.10463090986013412,340,170,0.3076864145696163,0.30756568908691406,-167.0,
1730231291.80309,rsa,1000,1730231284.418731,2.2484969939879758,2.0,6,500,177,False,0,x86_64,1,0.08686066046357155,348,174,0.24444628320634365,0.24432635307312012,-171.0,,0.11111610941588879,348,174,0.19498858973383904,0.19486308097839355,-171.0,,0.10529298707842827,348,174,0.14746212027966976,0.14734435081481934,-171.0,,0.09803281351923943,348,174,0.48807661049067974,0.4879608154296875,-171.0,
1730231293.581132,rsa,1000,1730231284.418731,2.256513026052104,2.0,6,500,180,False,0,x86_64,1,0.08796912431716919,354,177,0.22187545150518417,0.22176170349121094,-174.0,,0.10934383608400822,354,177,0.2819221764802933,0.28180384635925293,-174.0,,0.10949734412133694,354,177,0.7100072707980871,0.7098662853240967,-174.0,,0.10744251310825348,354,177,0.6291350070387125,0.6289923191070557,-174.0,
1730231296.063032,rsa,1000,1730231284.418731,2.2645290581162323,2.0,6,500,183,False,0,x86_64,1,0.08783094771206379,360,180,0.18676435947418213,0.1866464614868164,-177.0,,0.1056403387337923,360,180,0.192692369222641,0.19257903099060059,-177.0,,0.10303913243114948,360,180,0.18668782711029053,0.18657326698303223,-177.0,,0.10020545311272144,360,180,0.6255870070308447,0.62546706199646,-177.0,
1730231297.943768,rsa,1000,1730231284.418731,2.2725450901803605,2.0,6,500,187,False,0,x86_64,1,0.08826379105448723,368,184,0.4512727055698633,0.4511528015136719,-181.0,,0.10808995552361012,368,184,0.2809143364429474,0.2807796001434326,-181.0,,0.10001626797020435,368,184,0.5570294801145792,0.5569064617156982,-181.0,,0.10604439117014408,368,184,0.27892347052693367,0.27879858016967773,-181.0,
1730231300.155433,rsa,1000,1730231284.418731,2.280561122244489,2.0,6,500,190,False,0,x86_64,1,0.09073764272034168,374,187,0.47566026635468006,0.475541353225708,-184.0,,0.11203732900321484,374,187,0.5088556129485369,0.508751630783081,-184.0,,0.11037159152328968,374,187,0.2943256329745054,0.29419708251953125,-184.0,,0.10354186780750751,374,187,0.41869763284921646,0.41857266426086426,-184.0,
1730231302.569033,rsa,1000,1730231284.418731,2.288577154308617,2.0,6,500,194,False,0,x86_64,1,0.08688268810510635,382,191,0.3176538608968258,0.3175351619720459,-188.0,,0.10702727921307087,382,191,0.258100051432848,0.2579796314239502,-188.0,,0.1114627756178379,382,191,0.3782611284404993,0.3781290054321289,-188.0,,0.10565806552767754,382,191,0.23810385167598724,0.23797607421875,-188.0,
1730231304.367832,rsa,1000,1730231284.418731,2.2965931863727453,2.0,6,500,197,False,0,x86_64,1,0.08823003992438316,388,194,0.48114335909485817,0.48102378845214844,-191.0,,0.11113191209733486,388,194,0.5718879140913486,0.5717620849609375,-191.0,,0.11228626780211926,388,194,0.5211573354899883,0.5210275650024414,-191.0,,0.10704272426664829,388,194,0.45316068828105927,0.4530360698699951,-191.0,
1730231307.048533,rsa,1000,1730231284.418731,2.3046092184368736,2.0,6,500,201,False,0,x86_64,1,0.08764170482754707,396,198,0.26226331666111946,0.26215076446533203,-195.0,,0.10568895190954208,396,198,0.3857618197798729,0.38564538955688477,-195.0,,0.10509197786450386,396,198,0.25428819842636585,0.2541632652282715,-195.0,,0.10661647282540798,396,198,0.3736563231796026,0.3735322952270508,-195.0,
1730231308.990312,rsa,1000,1730231284.418731,2.312625250501002,2.0,6,500,205,False,0,x86_64,1,0.08919307217001915,404,202,0.16734181717038155,0.16721606254577637,-199.0,,0.10406602546572685,404,202,0.28816487453877926,0.2880420684814453,-199.0,,0.11105688847601414,404,202,0.3257386088371277,0.32560110092163086,-199.0,,0.106881657615304,404,202,0.37843647226691246,0.37831950187683105,-199.0,
1730231310.809297,rsa,1000,1730231284.418731,2.32064128256513,2.0,6,500,209,False,0,x86_64,1,0.09039568528532982,412,206,0.38188232108950615,0.38176584243774414,-203.0,,0.10503228195011616,412,206,0.34866631403565407,0.3485405445098877,-203.0,,0.11179999448359013,412,206,0.37278598360717297,0.3726627826690674,-203.0,,0.10510112904012203,412,206,0.34886675141751766,0.3487422466278076,-203.0,
1730231312.951461,rsa,1000,1730231284.418731,2.3286573146292584,2.0,6,500,213,False,0,x86_64,1,0.0914280116558075,420,210,0.3056949879974127,0.30556774139404297,-207.0,,0.11258229985833168,420,210,0.4367156680673361,0.43658947944641113,-207.0,,0.10445217601954937,420,210,0.2663256712257862,0.26619529724121094,-207.0,,0.10449696518480778,420,210,0.3072473146021366,0.3071169853210449,-207.0,
1730231314.923517,rsa,1000,1730231284.418731,2.3366733466933867,2.0,6,500,217,False,0,x86_64,1,0.08960925601422787,428,214,0.42231026850640774,0.422182559967041,-211.0,,0.10789522156119347,428,214,0.4572277795523405,0.45710110664367676,-211.0,,0.10593045875430107,428,214,0.39417966827750206,0.3940389156341553,-211.0,,0.11089491471648216,428,214,0.319245433434844,0.31911349296569824,-211.0,
1730231317.175581,rsa,1000,1730231284.418731,2.344689378757515,2.0,6,500,221,False,0,x86_64,1,0.09075054712593555,436,218,0.2877990324050188,0.2876718044281006,-215.0,,0.11433457210659981,436,218,0.6438203044235706,0.6436891555786133,-215.0,,0.11283146031200886,436,218,0.492121197283268,0.4919910430908203,-215.0,,0.11064070835709572,436,218,0.3865515720099211,0.386425256729126,-215.0,
1730231319.643033,rsa,1000,1730231284.418731,2.352705410821643,2.0,6,500,225,False,0,x86_64,1,0.08689570799469948,444,222,0.4870478641241789,0.4869263172149658,-219.0,,0.1113337092101574,444,222,0.8062523286789656,0.8061249256134033,-219.0,,0.11721213534474373,444,222,0.6694312393665314,0.6693007946014404,-219.0,,0.1136374082416296,444,222,0.29491988755762577,0.29479050636291504,-219.0,
1730231322.519634,rsa,1000,1730231284.418731,2.3607214428857715,2.0,6,500,229,False,0,x86_64,1,0.09170151688158512,452,226,0.16855577193200588,0.16843485832214355,-223.0,,0.10633315704762936,452,226,0.4646982438862324,0.4645712375640869,-223.0,,0.10770818404853344,452,226,0.2865041643381119,0.2863655090332031,-223.0,,0.10761855356395245,452,226,0.33821219205856323,0.3380770683288574,-223.0,
1730231324.361175,rsa,1000,1730231284.418731,2.3687374749498997,2.0,6,500,233,False,0,x86_64,1,0.08730808831751347,460,230,0.72096380405128,0.7208318710327148,-227.0,,0.10877733863890171,460,230,0.40107350051403046,0.4009416103363037,-227.0,,0.11080878041684628,460,230,0.8890474084764719,0.8889119625091553,-227.0,,0.10759455524384975,460,230,0.33194408006966114,0.3318014144897461,-227.0,
1730231327.348024,rsa,1000,1730231284.418731,2.376753507014028,2.0,6,500,238,False,0,x86_64,1,0.08769046887755394,470,235,0.3691764399409294,0.36907029151916504,-232.0,,0.11339908465743065,470,235,0.5122804120182991,0.5121450424194336,-232.0,,0.11295690760016441,470,235,0.9212504420429468,0.9211106300354004,-232.0,,0.11126206442713737,470,235,0.46205058321356773,0.4619166851043701,-232.0,
1730231330.227861,rsa,1000,1730231284.418731,2.3847695390781563,2.0,6,500,242,False,0,x86_64,1,0.09219683520495892,478,239,0.42571283131837845,0.425586462020874,-236.0,,0.10909643769264221,478,239,0.30835083313286304,0.3082234859466553,-236.0,,0.10882220789790154,478,239,0.5685592964291573,0.5684115886688232,-236.0,,0.11222823150455952,478,239,0.5032972116023302,0.5031657218933105,-236.0,
1730231332.665679,rsa,1000,1730231284.418731,2.3927855711422845,2.0,6,500,247,False,0,x86_64,1,0.08662110008299351,488,244,0.6251775920391083,0.6250455379486084,-241.0,,0.11329136043787003,488,244,0.5255148410797119,0.5253851413726807,-241.0,,0.1081705205142498,488,244,0.3419590853154659,0.34183311462402344,-241.0,,0.11249896511435509,488,244,0.7287459783256054,0.7286157608032227,-241.0,
1730231335.496866,rsa,1000,1730231284.418731,2.400801603206413,2.0,6,500,251,False,0,x86_64,1,0.094992371276021,496,248,0.4645003415644169,0.4643723964691162,-245.0,,0.11439189873635769,496,248,0.5804853588342667,0.5803472995758057,-245.0,,0.11079510487616062,496,248,0.6368439216166735,0.636704683303833,-245.0,,0.11514872312545776,496,248,0.2932357545942068,0.2930927276611328,-245.0,
1730231338.112614,rsa,1000,1730231284.418731,2.408817635270541,2.0,6,500,256,False,0,x86_64,1,0.08927606977522373,506,253,1.0746484622359276,1.0745093822479248,-250.0,,0.11093402467668056,506,253,0.5010368768125772,0.5009028911590576,-250.0,,0.11365166679024696,506,253,0.49504287727177143,0.4949054718017578,-250.0,,0.11413773149251938,506,253,0.6562869548797607,0.6561472415924072,-250.0,
1730231341.476651,rsa,1000,1730231284.418731,2.4168336673346693,2.0,6,500,261,False,0,x86_64,1,0.09201345592737198,516,258,0.4002261087298393,0.40009331703186035,-255.0,,0.11225382797420025,516,258,0.4505267236381769,0.4503912925720215,-255.0,,0.11152734607458115,516,258,0.3864110615104437,0.3862762451171875,-255.0,,0.11501714400947094,516,258,0.6431295238435268,0.6429874897003174,-255.0,
1730231344.06002,rsa,1000,1730231284.418731,2.4248496993987976,2.0,6,500,265,False,0,x86_64,1,0.09263932146131992,524,262,0.3358537442982197,0.3357212543487549,-259.0,,0.11458880081772804,524,262,0.4886383432894945,0.48850274085998535,-259.0,,0.1179674044251442,524,262,0.3843227494508028,0.38419246673583984,-259.0,,0.11182036623358727,524,262,0.4528029337525368,0.45267581939697266,-259.0,
1730231346.347212,rsa,1000,1730231284.418731,2.432865731462926,2.0,6,500,270,False,0,x86_64,1,0.09386013448238373,534,267,0.40050012804567814,0.40037035942077637,-264.0,,0.11572289653122425,534,267,0.45003929920494556,0.4499082565307617,-264.0,,0.11310411617159843,534,267,0.42837698198854923,0.42824721336364746,-264.0,,0.11488488502800465,534,267,0.7616444360464811,0.7615149021148682,-264.0,
1730231349.055873,rsa,1000,1730231284.418731,2.440881763527054,2.0,6,500,275,False,0,x86_64,1,0.09191139228641987,544,272,0.3387053292244673,0.3385782241821289,-269.0,,0.11682986281812191,544,272,0.48282331600785255,0.48269152641296387,-269.0,,0.11636349186301231,544,272,0.7462257854640484,0.7460801601409912,-269.0,,0.11343362741172314,544,272,1.3583040218800306,1.3581900596618652,-269.0,
1730231352.86664,rsa,1000,1730231284.418731,2.4488977955911824,2.0,6,500,281,False,0,x86_64,1,0.0940647404640913,554,277,0.6551996935158968,0.6550643444061279,-274.0,,0.11925318837165833,554,277,0.7506009321659803,0.7504589557647705,-274.0,,0.11600854620337486,554,277,0.3595472536981106,0.35941314697265625,-274.0,,0.11467375978827477,554,277,0.7299055680632591,0.7297682762145996,-274.0,
1730231356.19123,rsa,1000,1730231284.418731,2.4569138276553106,2.0,6,500,286,False,0,x86_64,1,0.09477005526423454,564,282,0.38121991977095604,0.3810882568359375,-279.0,,0.11638402938842773,564,282,0.23428075946867466,0.23414230346679688,-279.0,,0.1117018572986126,564,282,0.46272139996290207,0.4625730514526367,-279.0,,0.11285865679383278,564,282,0.6052408255636692,0.6051063537597656,-279.0,
1730231358.539139,rsa,1000,1730231284.418731,2.464929859719439,2.0,6,500,291,False,0,x86_64,1,0.09505479969084263,572,286,0.5253485050052404,0.5252134799957275,-283.0,,0.11849929206073284,572,286,0.27866132371127605,0.2785155773162842,-283.0,,0.11288146302103996,572,286,0.2670717313885689,0.2669377326965332,-283.0,,0.10947721637785435,572,286,0.4189928453415632,0.4188418388366699,-283.0,
1730231360.677652,rsa,1000,1730231284.418731,2.472945891783567,2.0,6,500,297,False,0,x86_64,1,0.09911888092756271,584,292,0.4880660753697157,0.4879298210144043,-289.0,,0.11836622469127178,584,292,0.5039205197244883,0.5037856101989746,-289.0,,0.11139795742928982,584,292,0.4236438665539026,0.42351269721984863,-289.0,,0.12002928741276264,584,292,0.4621986411511898,0.4620640277862549,-289.0,
