instance timestamp,query,domain size,run id,itr exponent,itr start,itr end,itr num,tuples added,bag semantics,max bag size,processor,number_of_witnesses,k (percent),lp_results: witness_computation_time,lp_results: number_of_witnesses,lp_results: number_of_tuples,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: GDP,lp_results: error,ilp_results: witness_computation_time,ilp_results: number_of_witnesses,ilp_results: number_of_tuples,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: GDP,ilp_results: error,specialized_adp: ADP,specialized_adp: Solve Time
1730302705.205217,rays-3,1000,1730302696.669129,2.25250501002004,0.5,6,500,178,False,0,x86_64,2,50,0.09251389466226101,0,178,0.10114462114870548,0.10083365440368652,1.0,,0.09527001529932022,0,178,0.06502062454819679,0.06488943099975586,1.0,,1.0,0.13501410745084286
1730302705.804414,rays-3,1000,1730302696.669129,2.2635270541082164,0.5,6,500,183,False,0,x86_64,2,50,0.09259292669594288,0,183,0.07677700370550156,0.0766444206237793,1.0,,0.09376554749906063,0,183,0.09290370903909206,0.09277057647705078,1.0,,1.0,0.12394315376877785
1730302706.366026,rays-3,1000,1730302696.669129,2.2745490981963927,0.5,6,500,188,False,0,x86_64,2,50,0.0924847461283207,0,188,0.10151523351669312,0.10137629508972168,1.0,,0.09547432139515877,0,188,0.1461819540709257,0.14604425430297852,1.0,,1.0,0.11810828372836113
1730302706.994615,rays-3,1000,1730302696.669129,2.285571142284569,0.5,6,500,193,False,0,x86_64,2,50,0.09520123340189457,0,193,0.0805982481688261,0.08046126365661621,1.0,,0.0981020238250494,0,193,0.06767100468277931,0.0675351619720459,1.0,,1.0,0.12445102445781231
1730302707.535314,rays-3,1000,1730302696.669129,2.2965931863727453,0.5,6,500,197,False,0,x86_64,2,50,0.09591833129525185,0,197,0.08684505894780159,0.0867013931274414,1.0,,0.09921444952487946,0,197,0.07063891552388668,0.07049775123596191,1.0,,1.0,0.134037796407938
1730302708.104884,rays-3,1000,1730302696.669129,2.3076152304609217,0.5,6,500,203,False,0,x86_64,2,50,0.09579634666442871,0,203,0.09375861845910549,0.09360909461975098,1.0,,0.09905943647027016,0,203,0.0904724970459938,0.09034085273742676,1.0,,1.0,0.14743788726627827
1730302708.718181,rays-3,1000,1730302696.669129,2.3186372745490984,0.5,6,500,208,False,0,x86_64,2,50,0.09402369894087315,0,208,0.0811847560107708,0.08104991912841797,1.0,,0.09759868681430817,0,208,0.08319751918315887,0.08306264877319336,1.0,,1.0,0.13641327619552612
1730302709.294673,rays-3,1000,1730302696.669129,2.3296593186372747,0.5,6,500,213,False,0,x86_64,2,50,0.09605281054973602,0,213,0.07102382183074951,0.07088017463684082,1.0,,0.09879399463534355,0,213,0.06916557066142559,0.06902956962585449,1.0,,1.0,0.1269139163196087
1730302709.852207,rays-3,1000,1730302696.669129,2.340681362725451,0.5,6,500,219,False,0,x86_64,2,50,0.097936000674963,0,219,0.06813758984208107,0.06800222396850586,1.0,,0.09864143282175064,0,219,0.10806411691009998,0.10792875289916992,1.0,,1.0,0.1599505301564932
1730302710.477281,rays-3,1000,1730302696.669129,2.3517034068136273,0.5,6,500,224,False,0,x86_64,2,50,0.09711930342018604,0,224,0.09270319156348705,0.09256887435913086,1.0,,0.10032151639461517,0,224,0.10117593593895435,0.10103440284729004,1.0,,1.0,0.14994477294385433
1730302711.109445,rays-3,1000,1730302696.669129,2.3627254509018036,0.5,6,500,230,False,0,x86_64,2,50,0.13764668069779873,0,230,0.08984633721411228,0.08972907066345215,1.0,,0.10133220255374908,0,230,0.07718454487621784,0.07704305648803711,1.0,,1.0,0.11904770694673061
1730302711.72755,rays-3,1000,1730302696.669129,2.3737474949899804,0.5,6,500,236,False,0,x86_64,2,50,0.10213165543973446,0,236,0.07191630266606808,0.0717613697052002,1.0,,0.10356746800243855,0,236,0.07048162631690502,0.0703420639038086,1.0,,1.0,0.22149775363504887
1730302712.40734,rays-3,1000,1730302696.669129,2.3847695390781567,0.5,6,500,242,False,0,x86_64,2,50,0.10126657783985138,0,242,0.1287954617291689,0.12865662574768066,1.0,,0.10206312499940395,0,242,0.15143842436373234,0.15131068229675293,1.0,,1.0,0.3045480865985155
1730302713.41725,rays-3,1000,1730302696.669129,2.395791583166333,0.5,6,500,248,False,0,x86_64,2,50,0.10173232667148113,0,248,0.3155804183334112,0.3154335021972656,1.0,,0.10656219534575939,0,248,0.25897809676826,0.25884079933166504,1.0,,1.0,0.28606987930834293
1730302714.68869,rays-3,1000,1730302696.669129,2.4068136272545093,0.5,6,500,255,False,0,x86_64,2,50,0.10261858999729156,0,255,0.13819869048893452,0.13806462287902832,1.0,,0.10461396723985672,0,255,0.16540506668388844,0.1652665138244629,1.0,,1.0,0.2065973300486803
1730302715.516889,rays-3,1000,1730302696.669129,2.4178356713426856,0.5,6,500,261,False,0,x86_64,2,50,0.10886506736278534,0,261,0.1085487175732851,0.10841250419616699,1.0,,0.10933040641248226,0,261,0.06630363315343857,0.06615543365478516,1.0,,1.0,0.12548779137432575
1730302716.155964,rays-3,1000,1730302696.669129,2.428857715430862,0.5,6,500,268,False,0,x86_64,2,50,0.10485870391130447,0,268,0.07637095637619495,0.07622146606445312,1.0,,0.10729599185287952,0,268,0.07746303267776966,0.07732558250427246,1.0,,1.0,0.12741902470588684
1730302716.743014,rays-3,1000,1730302696.669129,2.4398797595190382,0.5,6,500,275,False,0,x86_64,2,50,0.10613315179944038,0,275,0.0695328526198864,0.06939387321472168,1.0,,0.10841343551874161,0,275,0.07370087690651417,0.07356452941894531,1.0,,1.0,0.12855214439332485
1730302717.341942,rays-3,1000,1730302696.669129,2.4509018036072145,0.5,6,500,282,False,0,x86_64,2,50,0.10746848583221436,0,282,0.08265217207372189,0.0825040340423584,1.0,,0.10968735069036484,0,282,0.08988352678716183,0.08973145484924316,1.0,,1.0,0.12253584153950214
1730302717.952621,rays-3,1000,1730302696.669129,2.461923847695391,0.5,6,500,289,False,0,x86_64,2,50,0.10909014567732811,0,289,0.08210906945168972,0.08196663856506348,1.0,,0.11229305155575275,0,289,0.0753772035241127,0.07523226737976074,1.0,,1.0,0.12329441122710705
1730302718.549817,rays-3,1000,1730302696.669129,2.472945891783567,0.5,6,500,297,False,0,x86_64,2,50,0.10748836025595665,0,297,0.08413526602089405,0.0839991569519043,1.0,,0.10952580533921719,0,297,0.08984687738120556,0.08971023559570312,1.0,,1.0,0.1586451753973961
1730302719.19581,rays-3,1000,1730302696.669129,2.4839679358717435,0.5,6,500,304,False,0,x86_64,2,50,0.11003077030181885,0,304,0.07642798870801926,0.0762941837310791,1.0,,0.11283468455076218,0,304,0.06749591045081615,0.06734371185302734,1.0,,1.0,0.1290659997612238
1730302719.795122,rays-3,1000,1730302696.669129,2.49498997995992,0.5,6,500,312,False,0,x86_64,2,50,0.11408137530088425,0,312,0.10184690356254578,0.10170769691467285,1.0,,0.1170076597481966,0,312,0.09951974637806416,0.09938335418701172,1.0,,1.0,0.11495154909789562
1730302720.449232,rays-3,1000,1730302696.669129,2.506012024048096,0.5,6,500,320,False,0,x86_64,2,50,0.1137053556740284,0,320,0.08517060801386833,0.08502483367919922,1.0,,0.11634465679526329,0,320,0.08409600146114826,0.08395624160766602,1.0,,1.0,0.11489038355648518
1730302721.064983,rays-3,1000,1730302696.669129,2.517034068136273,0.5,6,500,328,False,0,x86_64,2,50,0.11445125564932823,0,328,0.07620786875486374,0.07609367370605469,1.0,,0.11892837285995483,0,328,0.08447383157908916,0.08434271812438965,1.0,,1.0,0.12059084884822369
1730302721.717686,rays-3,1000,1730302696.669129,2.528056112224449,0.5,6,500,337,False,0,x86_64,2,50,0.11477616429328918,0,337,0.0739784985780716,0.07384252548217773,1.0,,0.11708584800362587,0,337,0.06728409230709076,0.06711745262145996,1.0,,1.0,0.12796998396515846
1730302722.329236,rays-3,1000,1730302696.669129,2.5390781563126255,0.5,6,500,346,False,0,x86_64,2,50,0.11552281118929386,0,346,0.08740056678652763,0.08726167678833008,1.0,,0.11693426221609116,0,346,0.07038846984505653,0.07024884223937988,1.0,,1.0,0.11994018405675888
1730302722.941502,rays-3,1000,1730302696.669129,2.5501002004008018,0.5,6,500,354,False,0,x86_64,2,50,0.11842543259263039,0,354,0.08386852964758873,0.08372879028320312,1.0,,0.1209139060229063,0,354,0.0690922960639,0.06894969940185547,1.0,,1.0,0.15622447803616524
