instance timestamp,query,domain size,run id,itr exponent,itr start,itr end,itr num,tuples added,bag semantics,max bag size,processor,number_of_witnesses,lp_results: witness_computation_time,lp_results: number_of_witnesses,lp_results: number_of_tuples,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: GDP,lp_results: error,ilp_results: witness_computation_time,ilp_results: number_of_witnesses,ilp_results: number_of_tuples,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: GDP,ilp_results: error,specialized_dpvs: Solve Time,specialized_dpvs: contingency set,specialized_dpvs: dp-vs
1730231414.146025,hc-star-3,1000,1730231339.515413,2.7725450901803605,0.5,4,500,592,False,0,x86_64,1,0.1452372595667839,0,579,0.4892883859574795,0.4890902042388916,1.0,,0.15574010461568832,0,579,0.3724708706140518,0.3723480701446533,1.0,,0.010969681665301323,"       x
119  644",1
1730231415.681912,hc-star-3,1000,1730231339.515413,2.779559118236473,0.5,4,500,601,False,0,x86_64,1,0.14516024105250835,0,588,0.24069367535412312,0.24057769775390625,1.0,,0.16759953647851944,0,588,0.5082149803638458,0.5080857276916504,1.0,,0.010327357798814774,"       x
121  644",1
1730231417.048985,hc-star-3,1000,1730231339.515413,2.7865731462925853,0.5,4,500,611,False,0,x86_64,1,0.14736420661211014,0,598,0.6999147776514292,0.6997992992401123,1.0,,0.16379698738455772,0,598,0.5737716723233461,0.5736510753631592,1.0,,0.010029058903455734,"       x
121  644",1
1730231418.873273,hc-star-3,1000,1730231339.515413,2.7935871743486973,0.5,4,500,621,False,0,x86_64,1,0.14071356877684593,0,606,0.43489235639572144,0.4348013401031494,1.0,,0.16125603206455708,0,606,0.4622604325413704,0.46213316917419434,1.0,,0.01224258728325367,"       x
122  644",1
1730231420.365053,hc-star-3,1000,1730231339.515413,2.8006012024048097,0.5,4,500,631,False,0,x86_64,1,0.14515486359596252,0,616,0.6379876341670752,0.6378681659698486,1.0,,0.1724043469876051,0,616,0.5208819936960936,0.5207509994506836,1.0,,0.010532146319746971,"       x
123  644",1
1730231422.064369,hc-star-3,1000,1730231339.515413,2.8076152304609217,0.5,4,500,642,False,0,x86_64,1,0.14475750923156738,0,627,0.52303028665483,0.5229165554046631,1.0,,0.16421931236982346,0,627,0.9047853816300631,0.9046440124511719,1.0,,0.011116614565253258,"       x
125  644",1
1730231424.039597,hc-star-3,1000,1730231339.515413,2.814629258517034,0.5,4,500,652,False,0,x86_64,1,0.14010214619338512,0,637,1.0178159568458796,1.0177018642425537,1.0,,0.1738348137587309,0,637,0.586697431281209,0.5865752696990967,1.0,,0.011531561613082886,"       x
127  644",1
1730231426.190432,hc-star-3,1000,1730231339.515413,2.8216432865731464,0.5,4,500,663,False,0,x86_64,1,0.14563652127981186,0,646,0.40225548297166824,0.40214085578918457,1.0,,0.16850049048662186,0,646,0.5575508829206228,0.557424783706665,1.0,,0.013196965679526329,"       x
130  644",1
1730231427.701456,hc-star-3,1000,1730231339.515413,2.8286573146292584,0.5,4,500,673,False,0,x86_64,1,0.147784274071455,0,656,1.3968393448740244,1.3967220783233643,1.0,,0.1710547897964716,0,656,0.4450403265655041,0.4449152946472168,1.0,,0.014093419536948204,"       x
131  644",1
1730231430.090337,hc-star-3,1000,1730231339.515413,2.835671342685371,0.5,4,500,684,False,0,x86_64,1,0.15022020041942596,0,666,0.6190703473985195,0.6189765930175781,1.0,,0.16224335506558418,0,666,0.9673060402274132,0.9671728610992432,1.0,,0.015504468232393265,"       x
133  644",1
