instance timestamp,query,domain size,run id,itr exponent,itr start,itr end,itr num,tuples added,bag semantics,max bag size,processor,number_of_witnesses,lp_results: witness_computation_time,lp_results: number_of_witnesses,lp_results: number_of_tuples,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: GDP,lp_results: error,ilp_results: witness_computation_time,ilp_results: number_of_witnesses,ilp_results: number_of_tuples,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: GDP,ilp_results: error,specialized_swp: SWP,specialized_swp: Solve Time
1730231425.129189,hc-star-3,1000,1730231339.517307,2.905811623246493,0.5,4,500,805,False,0,x86_64,1,0.16929826326668262,1588,794,0.3596523404121399,0.35944652557373047,-790.0,,0.1837879866361618,1588,794,0.5397753082215786,0.5396511554718018,-790.0,,4,0.014901716262102127
1730231426.714419,hc-star-3,1000,1730231339.517307,2.9128256513026054,0.5,4,500,818,False,0,x86_64,1,0.15953045524656773,1614,807,0.6264841798692942,0.6263506412506104,-803.0,,0.1960353571921587,1614,807,1.0085816718637943,1.0084588527679443,-803.0,,4,0.014779491350054741
1730231429.035811,hc-star-3,1000,1730231339.517307,2.9198396793587174,0.5,4,500,831,False,0,x86_64,1,0.1671179924160242,1640,820,0.6471224594861269,0.6470203399658203,-816.0,,0.18923506140708923,1640,820,0.8107485473155975,0.8106226921081543,-816.0,,4,0.014316376298666
1730231431.190908,hc-star-3,1000,1730231339.517307,2.9268537074148298,0.5,4,500,844,False,0,x86_64,1,0.16882271692156792,1662,831,0.9637431185692549,0.963615894317627,-827.0,,0.1902761608362198,1662,831,0.8809306118637323,0.8808069229125977,-827.0,,4,0.014832321554422379
1730231433.736338,hc-star-3,1000,1730231339.517307,2.9338677354709417,0.5,4,500,858,False,0,x86_64,2,0.17072306014597416,1688,844,0.960023133084178,0.9598920345306396,-836.0,,0.19179215468466282,1688,844,0.790654020383954,0.7905142307281494,-836.0,,8,0.024385157972574234
1730231436.198835,hc-star-3,1000,1730231339.517307,2.940881763527054,0.5,4,500,872,False,0,x86_64,2,0.17166267335414886,1712,856,0.8232973217964172,0.823171854019165,-848.0,,0.1933619100600481,1712,856,0.9589185528457165,0.9587914943695068,-848.0,,8,0.024463791400194168
1730231438.798379,hc-star-3,1000,1730231339.517307,2.9478957915831665,0.5,4,500,886,False,0,x86_64,2,0.1750080082565546,1740,870,0.41659983806312084,0.4164695739746094,-862.0,,0.19913017936050892,1740,870,0.6392674744129181,0.6391608715057373,-862.0,,8,0.02449673041701317
1730231440.661509,hc-star-3,1000,1730231339.517307,2.9549098196392785,0.5,4,500,901,False,0,x86_64,2,0.17533724941313267,1766,883,0.3893294595181942,0.3892021179199219,-875.0,,0.19640642032027245,1766,883,1.0583586413413286,1.0582301616668701,-875.0,,8,0.024912185966968536
1730231442.878448,hc-star-3,1000,1730231339.517307,2.961923847695391,0.5,4,500,916,False,0,x86_64,2,0.17661524936556816,1794,897,0.465471675619483,0.46533823013305664,-889.0,,0.19634180702269077,1794,897,0.4797982219606638,0.4796576499938965,-889.0,,8,0.024717867374420166
1730231444.545182,hc-star-3,1000,1730231339.517307,2.968937875751503,0.5,4,500,930,False,0,x86_64,2,0.1730789579451084,1822,911,0.5486529842019081,0.5485227108001709,-903.0,,0.1943773739039898,1822,911,0.753581527620554,0.753462553024292,-903.0,,8,0.021307729184627533
1730231446.548208,hc-star-3,1000,1730231339.517307,2.975951903807615,0.5,4,500,946,False,0,x86_64,2,0.16993683949112892,1852,926,0.5918590519577265,0.5917375087738037,-918.0,,0.1551205851137638,1852,926,0.5665579475462437,0.5664863586425781,-918.0,,8,0.01689969003200531
1730231448.368185,hc-star-3,1000,1730231339.517307,2.9829659318637276,0.5,4,500,961,False,0,x86_64,2,0.14238125830888748,1882,941,1.011803813278675,1.0117030143737793,-933.0,,0.144817803055048,1882,941,0.3084998205304146,0.30839061737060547,-933.0,,8,0.017122110351920128
1730231450.255855,hc-star-3,1000,1730231339.517307,2.9899799599198396,0.5,4,500,977,False,0,x86_64,2,0.16166651993989944,1914,957,0.7772004008293152,0.7770943641662598,-949.0,,0.19532335177063942,1914,957,0.7345387954264879,0.7344081401824951,-949.0,,8,0.025038322433829308
1730231452.454166,hc-star-3,1000,1730231339.517307,2.996993987975952,0.5,4,500,993,False,0,x86_64,2,0.17574595287442207,1944,972,0.46364603377878666,0.4635162353515625,-964.0,,0.20037388429045677,1944,972,0.7877378650009632,0.7876105308532715,-964.0,,8,0.026086818426847458
