instance timestamp,query,domain size,run id,itr exponent,itr start,itr end,itr num,tuples added,bag semantics,max bag size,processor,number_of_witnesses,lp_results: witness_computation_time,lp_results: number_of_witnesses,lp_results: number_of_tuples,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: GDP,lp_results: error,ilp_results: witness_computation_time,ilp_results: number_of_witnesses,ilp_results: number_of_tuples,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: GDP,ilp_results: error,specialized_dpvs: Solve Time,specialized_dpvs: contingency set,specialized_dpvs: dp-vs
1730231323.755966,hc-star-5,500,1730231284.418739,2.9689378757515033,0.5,6,500,930,False,0,x86_64,1,0.22162993997335434,0,903,0.29724435694515705,0.29703450202941895,1.0,,0.24645951017737389,0,903,0.6188130732625723,0.6186792850494385,1.0,,0.019051771610975266,"       x
102  194",1
1730231325.490487,hc-star-5,500,1730231284.418739,2.9799599198396796,0.5,6,500,954,False,0,x86_64,1,0.22236510924994946,0,927,0.8488020598888397,0.848684549331665,1.0,,0.2519072275608778,0,927,0.3511227201670408,0.3510146141052246,1.0,,0.01901433989405632,"       x
104  194",1
1730231327.523764,hc-star-5,500,1730231284.418739,2.990981963927856,0.5,6,500,979,False,0,x86_64,1,0.22163982316851616,0,950,0.6828935649245977,0.6827747821807861,1.0,,0.24973652325570583,0,950,0.7131278682500124,0.7129955291748047,1.0,,0.019254788756370544,"       x
105  194",1
1730231329.70997,hc-star-5,500,1730231284.418739,3.002004008016032,0.5,6,500,1004,False,0,x86_64,3,0.22881247103214264,0,974,0.5203693024814129,0.520249605178833,1.0,,0.25408713705837727,0,974,0.6870271563529968,0.6868929862976074,1.0,,0.019592449069023132,"       x
109  194",1
1730231331.778129,hc-star-5,500,1730231284.418739,3.0130260521042085,0.5,6,500,1030,False,0,x86_64,3,0.22682303376495838,0,995,0.5868169162422419,0.5866990089416504,1.0,,0.2577015142887831,0,995,0.5483724996447563,0.548245906829834,1.0,,0.019302744418382645,"       x
109  194",1
1730231333.72748,hc-star-5,500,1730231284.418739,3.024048096192385,0.5,6,500,1056,False,0,x86_64,3,0.23448904417455196,0,1021,0.35334148444235325,0.35323023796081543,1.0,,0.25828015618026257,0,1021,-1,-1,-1,PuLP: Error while trying to execute gurobi_cl,0.02021690458059311,"       x
111  194",1
1730231335.544266,hc-star-5,500,1730231284.418739,3.035070140280561,0.5,6,500,1084,False,0,x86_64,3,0.23828216083347797,0,1048,0.849811190739274,0.8496830463409424,1.0,,0.26541359908878803,0,1048,1.199190266430378,1.1990530490875244,1.0,,0.019731305539608,"       x
122  459",1
1730231338.50528,hc-star-5,500,1730231284.418739,3.0460921843687374,0.5,6,500,1111,False,0,x86_64,3,0.23901477828621864,0,1075,0.8506050519645214,0.8504900932312012,1.0,,0.26834624633193016,0,1075,0.5119057036936283,0.5117733478546143,1.0,,0.018083808943629265,"       x
116  194",1
1730231340.719704,hc-star-5,500,1730231284.418739,3.057114228456914,0.5,6,500,1140,False,0,x86_64,3,0.24414796754717827,0,1103,0.46236902475357056,0.4622526168823242,1.0,,0.26613600365817547,0,1103,0.6050212513655424,0.6048886775970459,1.0,,0.020412994548678398,"       x
119  194",1
1730231342.632157,hc-star-5,500,1730231284.418739,3.0681362725450905,0.5,6,500,1169,False,0,x86_64,3,0.243782639503479,0,1127,0.5704815685749054,0.5703773498535156,1.0,,0.2738464046269655,0,1127,0.3475212324410677,0.34739017486572266,1.0,,0.01844947598874569,"       x
127  459",1
1730231344.417589,hc-star-5,500,1730231284.418739,3.079158316633267,0.5,6,500,1199,False,0,x86_64,3,0.24943744018673897,0,1155,0.5039878934621811,0.5038719177246094,1.0,,0.2720081340521574,0,1155,0.5722271427512169,0.5720961093902588,1.0,,0.01935560442507267,"       x
130  459",1
1730231346.416223,hc-star-5,500,1730231284.418739,3.090180360721443,0.5,6,500,1230,False,0,x86_64,3,0.249610785394907,0,1186,0.6252008434385061,0.6250874996185303,1.0,,0.27614340744912624,0,1186,0.7407211270183325,0.740595817565918,1.0,,0.01972280815243721,"       x
126  194",1
1730231348.725328,hc-star-5,500,1730231284.418739,3.1012024048096194,0.5,6,500,1262,False,0,x86_64,3,0.2559298388659954,0,1216,0.3840904217213392,0.38398313522338867,1.0,,0.2834927123039961,0,1216,0.6380034424364567,0.6378786563873291,1.0,,0.021264873445034027,"       x
135  459",1
1730231350.7206,hc-star-5,500,1730231284.418739,3.1122244488977957,0.5,6,500,1294,False,0,x86_64,5,0.26199167408049107,0,1247,1.8382257260382175,1.8380920886993408,1.0,,0.2827427536249161,0,1247,1.032594833523035,1.0324580669403076,1.0,,0.022234614938497543,"       x
138  459",1
1730231354.572174,hc-star-5,500,1730231284.418739,3.123246492985972,0.5,6,500,1328,False,0,x86_64,5,0.2674353253096342,0,1281,0.5447137430310249,0.5445950031280518,1.0,,0.29083429276943207,0,1281,0.4980313703417778,0.49790191650390625,1.0,,0.020688068121671677,"       x
134  194",1
1730231356.560606,hc-star-5,500,1730231284.418739,3.1342685370741483,0.5,6,500,1362,False,0,x86_64,7,0.2651671040803194,0,1311,0.4014594070613384,0.4013493061065674,1.0,,0.29067171178758144,0,1311,0.5058009419590235,0.505669355392456,1.0,,0.019873853772878647,"       x
134  194",1
1730231358.42551,hc-star-5,500,1730231284.418739,3.1452905811623246,0.5,6,500,1397,False,0,x86_64,7,0.27204337529838085,0,1345,0.5223984532058239,0.5222692489624023,1.0,,0.29128765873610973,0,1345,0.36865388974547386,0.3685181140899658,1.0,,0.022155126556754112,"     x
0  118",1
