instance timestamp,query,domain size,run id,itr exponent,itr start,itr end,itr num,tuples added,bag semantics,max bag size,processor,number_of_witnesses,lp_results: witness_computation_time,lp_results: number_of_witnesses,lp_results: number_of_tuples,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: GDP,lp_results: error,ilp_results: witness_computation_time,ilp_results: number_of_witnesses,ilp_results: number_of_tuples,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: GDP,ilp_results: error,specialized_dpvs: Solve Time,specialized_dpvs: contingency set,specialized_dpvs: dp-vs
1730231284.911538,rsa,1000,1730231283.409895,2.3046092184368736,2.0,6,500,201,False,0,x86_64,1,0.07301604375243187,0,199,0.09717690572142601,0.09705400466918945,1.0,,0.07714486122131348,0,199,0.06931216083467007,0.0691978931427002,1.0,,0.0045915283262729645,"      x    y
24  297  639",1
1730231285.3272,rsa,1000,1730231283.409895,2.312625250501002,2.0,6,500,205,False,0,x86_64,1,0.07384996861219406,0,203,0.09386822953820229,0.09374022483825684,1.0,,0.09391732141375542,0,203,0.061294274404644966,0.0611720085144043,1.0,,0.0046117957681417465,"      x    y
24  297  639",1
1730231285.731613,rsa,1000,1730231283.409895,2.32064128256513,2.0,6,500,209,False,0,x86_64,1,0.07241664081811905,0,207,0.05818949453532696,0.0580906867980957,1.0,,0.07607762143015862,0,207,0.06551603972911835,0.06539750099182129,1.0,,0.004422582685947418,"      x    y
25  297  639",1
1730231286.075269,rsa,1000,1730231283.409895,2.3286573146292584,2.0,6,500,213,False,0,x86_64,1,0.07310540229082108,0,211,0.0693346206098795,0.06923365592956543,1.0,,0.0760983806103468,0,211,0.07209037430584431,0.07197856903076172,1.0,,0.004855673760175705,"      x    y
26  297  639",1
1730231286.438914,rsa,1000,1730231283.409895,2.3366733466933867,2.0,6,500,217,False,0,x86_64,1,0.07307611033320427,0,215,0.07061282359063625,0.07050466537475586,1.0,,0.07790635526180267,0,215,0.07173100858926773,0.07161903381347656,1.0,,0.004574045538902283,"      x    y
26  297  639",1
1730231286.813865,rsa,1000,1730231283.409895,2.344689378757515,2.0,6,500,221,False,0,x86_64,1,0.07331161573529243,0,219,0.07234262861311436,0.07224512100219727,1.0,,0.07672591507434845,0,219,0.06708825379610062,0.06697273254394531,1.0,,0.004673736169934273,"      x    y
27  297  639",1
1730231287.183281,rsa,1000,1730231283.409895,2.352705410821643,2.0,6,500,225,False,0,x86_64,1,0.0742331687361002,0,223,0.08950565941631794,0.08940291404724121,1.0,,0.08707419224083424,0,223,0.06927921809256077,0.06916093826293945,1.0,,0.004887053743004799,"      x    y
27  297  639",1
1730231287.578069,rsa,1000,1730231283.409895,2.3607214428857715,2.0,6,500,229,False,0,x86_64,1,0.07600417360663414,0,226,0.0903138555586338,0.0902094841003418,1.0,,0.07858810946345329,0,226,0.06909634917974472,0.06897902488708496,1.0,,0.004570869728922844,"      x    y
28  297  639",1
1730231287.98937,rsa,1000,1730231283.409895,2.3687374749498997,2.0,6,500,233,False,0,x86_64,1,0.08315015397965908,0,230,0.08319909870624542,0.08308291435241699,1.0,,0.08441418409347534,0,230,0.07290994934737682,0.07279634475708008,1.0,,0.004861140623688698,"      x    y
28  297  639",1
1730231288.428137,rsa,1000,1730231283.409895,2.376753507014028,2.0,6,500,238,False,0,x86_64,1,0.07714627683162689,0,235,0.08703486062586308,0.08694219589233398,1.0,,0.0965930875390768,0,235,0.08045917190611362,0.08034205436706543,1.0,,0.004645664244890213,"      x    y
29  297  639",1
