instance timestamp,run id,airline,processor,number_of_witnesses,kpres,kdel,lp_results: witness_computation_time,lp_results: number_of_witnesses,lp_results: number_of_tuples,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: GDP,lp_results: error,ilp_results: witness_computation_time,ilp_results: number_of_witnesses,ilp_results: number_of_tuples,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: GDP,ilp_results: error,ilp_results_60: witness_computation_time,ilp_results_60: number_of_witnesses,ilp_results_60: number_of_tuples,ilp_results_60: Solve Time,ilp_results_60: Solver Solution Time,ilp_results_60: GDP,ilp_results_60: error
1730393213.880022,1730393212.754263,9E,x86_64,"[490, 11042]","[2, 0]",29,3.405997347086668,13004,611,15.965100058005191,15.723724842071533,72.0,,3.3887543990276754,13004,611,9.907069504028186,9.906869411468506,72.0,,3.378414907027036,13004,611,8.764812639099546,8.764624834060669,72.0,
1730393263.976493,1730393212.754263,AA,x86_64,"[724, 22885]","[2, 0]",43,5.904208107967861,25783,826,24.672514498932287,24.67232656478882,82.0,,5.948758375947364,25783,826,19.975083885947242,19.97486162185669,82.0,,5.934852420003153,25783,826,18.52114500699099,18.520959615707397,82.0,
1730393354.188268,1730393212.754263,MQ,x86_64,"[421, 12292]","[2, 0]",25,3.4747642290312797,13978,555,4.490130590973422,4.489920377731323,46.0,,3.5284619430312887,13978,555,7.479599072015844,7.479395627975464,46.0,,3.482205590000376,13978,555,7.340876568923704,7.340686321258545,46.0,
1730393389.737108,1730393212.754263,G4,x86_64,"[616, 14298]","[2, 0]",36,4.104401055024937,16764,736,11.648365242988802,11.648198127746582,34.0,,4.053038935060613,16764,736,9.777224552002735,9.777044534683228,34.0,,4.123227174044587,16764,736,10.07457267108839,10.074389219284058,34.0,
1730393439.601523,1730393212.754263,OH,x86_64,"[327, 10399]","[2, 0]",19,2.9878467810340226,11709,422,3.9772132970392704,3.9770419597625732,20.4897959183674,,3.0209228850435466,11709,422,9.589160135947168,9.588985204696655,24.0,,2.999540784046985,11709,422,8.789971182006411,8.789799928665161,24.0,
1730393475.86834,1730393212.754263,NK,x86_64,"[368, 5707]","[2, 0]",22,2.129080318962224,7181,411,1.6479859889950603,1.6478095054626465,,,2.245708169066347,7181,411,1.611219406942837,1.6110429763793945,,,2.25014048605226,7181,411,1.398481028038077,1.3982954025268555,,
1730393490.179282,1730393212.754263,OO,x86_64,"[1362, 42863]","[2, 0]",81,10.40427774505224,48313,1602,53.56994785298593,53.56976914405823,158.0,,10.423348085954785,48313,1602,71.37148024595808,71.37130618095398,158.0,,10.438206654973328,48313,1602,69.26812306104694,69.26795721054077,264.0,
1730393733.590229,1730393212.754263,DL,x86_64,"[836, 32864]","[2, 1]",50,7.886108492966741,36211,981,7.633710635011084,7.633473873138428,,,7.826600776985288,36211,981,6.347865129006095,6.347677707672119,,,7.855089778080583,36211,981,6.222256891080178,6.222034931182861,,
1730393790.409662,1730393212.754263,YV,x86_64,"[337, 8550]","[2, 1]",20,2.6583399700466543,9901,440,2.328528296900913,2.3283684253692627,,,2.712840177002363,9901,440,1.680315179983154,1.6801526546478271,,,2.6882719070417807,9901,440,2.4228528910316527,2.4226596355438232,,
1730393809.178614,1730393212.754263,EV,x86_64,"[374, 8996]","[2, 0]",22,2.73157078307122,10494,476,3.2818762939423323,3.281686782836914,52.27499999999987,,2.797254279954359,10494,476,11.861412782920524,11.8612380027771,57.0,,2.7995934810023755,10494,476,11.056032352964394,11.055825233459473,57.0,
