instance timestamp,query,domain size,run id,itr exponent,itr start,itr end,itr num,tuples added,bag semantics,max bag size,processor,number_of_witnesses,lp_results: witness_computation_time,lp_results: number_of_witnesses,lp_results: number_of_tuples,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: GDP,lp_results: error,ilp_results: witness_computation_time,ilp_results: number_of_witnesses,ilp_results: number_of_tuples,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: GDP,ilp_results: error,ilp_results_old: witness_computation_time,ilp_results_old: number_of_witnesses,ilp_results_old: number_of_tuples,ilp_results_old: Solve Time,ilp_results_old: Solver Solution Time,ilp_results_old: GDP,ilp_results_old: error,lp_results_old: witness_computation_time,lp_results_old: number_of_witnesses,lp_results_old: number_of_tuples,lp_results_old: Solve Time,lp_results_old: Solver Solution Time,lp_results_old: GDP,lp_results_old: error
1730231398.769641,hc-star-5,1000,1730231360.009773,3.3877755511022047,0.5,6,500,2442,False,0,x86_64,4,0.3564739419380203,4756,2378,1.1229850020026788,1.122542381286621,-2372.0,,0.3868088269373402,4756,2378,0.4802106979768723,0.48008036613464355,-2372.0,,0.37981842702720314,4756,2378,0.6110626601148397,0.6109249591827393,-2372.0,,0.38394882692955434,4756,2378,0.6865418560337275,0.6864368915557861,-2376.0,
1730231403.975978,hc-star-5,1000,1730231360.009773,3.398797595190381,0.5,6,500,2504,False,0,x86_64,8,0.36695316596888006,4874,2437,0.9137933719903231,0.9136347770690918,-2431.0,,0.391357560059987,4874,2437,0.24685506999958307,0.2467212677001953,-2431.0,,0.3673862130381167,4874,2437,0.7977590239606798,0.7976226806640625,-2431.0,,0.3904037409229204,4874,2437,0.2954807929927483,0.29535365104675293,-2435.875,
1730231408.530809,hc-star-5,1000,1730231360.009773,3.4098196392785574,0.5,6,500,2569,False,0,x86_64,8,0.3695141769712791,5002,2501,0.3585283870343119,0.3583977222442627,-2495.0,,0.3927703029476106,5002,2501,0.44499492703471333,0.4448893070220947,-2495.0,,0.3910270630149171,5002,2501,0.2549835139652714,0.2548534870147705,-2495.0,,0.3721014530165121,5002,2501,0.21967796806711704,0.21956562995910645,-2499.875,
1730231411.983793,hc-star-5,1000,1730231360.009773,3.4208416833667337,0.5,6,500,2635,False,0,x86_64,8,0.3353434399468824,5130,2565,0.4345769879873842,0.43446850776672363,-2559.0,,0.4035921909380704,5130,2565,0.2656470260117203,0.2655200958251953,-2559.0,,0.3825808430556208,5130,2565,0.2662189049879089,0.26612019538879395,-2559.0,,0.31830376002471894,5130,2565,0.1994573309784755,0.19933438301086426,-2563.875,
1730231415.168502,hc-star-5,1000,1730231360.009773,3.43186372745491,0.5,6,500,2703,False,0,x86_64,8,0.3223023930331692,5262,2631,0.36696460901293904,0.3668489456176758,-2625.0,,0.3539761060383171,5262,2631,0.37273863097652793,0.3726227283477783,-2625.0,,0.40899782499764115,5262,2631,0.2841035450110212,0.2839803695678711,-2625.0,,0.3863320330856368,5262,2631,0.4048520129872486,0.40473151206970215,-2629.875,
1730231418.669187,hc-star-5,1000,1730231360.009773,3.4428857715430863,0.5,6,500,2772,False,0,x86_64,8,0.3890806409763172,5384,2692,0.3850848519941792,0.3849670886993408,-2686.0,,0.41734688205178827,5384,2692,0.2558939290465787,0.25577449798583984,-2686.0,,0.3926809150725603,5384,2692,0.3075538369594142,0.30744385719299316,-2686.0,,0.3324444779427722,5384,2692,0.2076012899633497,0.20749115943908691,-2690.875,
1730231422.035236,hc-star-5,1000,1730231360.009773,3.4539078156312626,0.5,6,500,2843,False,0,x86_64,8,0.3169994259951636,5524,2762,0.2755230200709775,0.27541255950927734,-2756.0,,0.33686111390125006,5524,2762,0.4030225130263716,0.40291738510131836,-2756.0,,0.4076205720193684,5524,2762,0.5460914639988914,0.5459654331207275,-2756.0,,0.4035343730356544,5524,2762,0.8566385259618983,0.8564701080322266,-2760.875,
1730231426.210138,hc-star-5,1000,1730231360.009773,3.464929859719439,0.5,6,500,2916,False,0,x86_64,8,0.43887561198789626,5662,2831,0.3615160220069811,0.3614070415496826,-2825.0,,0.42017262801527977,5662,2831,0.5808504810556769,0.5807154178619385,-2825.0,,0.4133855568943545,5662,2831,0.3626640319125727,0.3625469207763672,-2825.0,,0.4083265840308741,5662,2831,0.5847377009922639,0.5846147537231445,-2829.875,
1730231430.535339,hc-star-5,1000,1730231360.009773,3.475951903807615,0.5,6,500,2991,False,0,x86_64,8,0.41033750609494746,5802,2901,0.24560763698536903,0.24549221992492676,-2895.0,,0.414441350963898,5802,2901,0.20434546109754592,0.2042379379272461,-2895.0,,0.3338002769742161,5802,2901,0.24033007200341672,0.24021649360656738,-2895.0,,0.33478018594905734,5802,2901,0.2212275800993666,0.2211453914642334,-2899.875,
1730231433.610973,hc-star-5,1000,1730231360.009773,3.486973947895792,0.5,6,500,3068,False,0,x86_64,8,0.3374033810105175,5950,2975,0.37091092800255865,0.370786190032959,-2969.0,,0.38113225204870105,5950,2975,0.23867714905645698,0.23858118057250977,-2969.0,,0.34729085804428905,5950,2975,0.2349540099967271,0.23485016822814941,-2969.0,,0.34446158492937684,5950,2975,0.6335937510011718,0.6334943771362305,-2973.875,
