instance timestamp,query,domain size,run id,itr exponent,itr start,itr end,itr num,tuples added,bag semantics,max bag size,processor,number_of_witnesses,lp_results: witness_computation_time,lp_results: number_of_witnesses,lp_results: number_of_tuples,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: GDP,lp_results: error,ilp_results: witness_computation_time,ilp_results: number_of_witnesses,ilp_results: number_of_tuples,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: GDP,ilp_results: error,specialized_swp: SWP,specialized_swp: Solve Time
1730257025.291694,rays-3,1000,1730257012.470411,2.5390781563126255,0.5,6,500,346,False,0,x86_64,1,0.10956210782751441,692,346,0.10218847868964076,0.10198760032653809,-343.0,,0.11252308404073119,692,346,0.07810394000262022,0.07796597480773926,-343.0,,3,0.00906554376706481
1730257025.847052,rays-3,1000,1730257012.470411,2.5501002004008018,0.5,6,500,354,False,0,x86_64,1,0.11130287498235703,708,354,0.07643235800787807,0.07629132270812988,-351.0,,0.11305496515706182,708,354,0.11186547623947263,0.11174416542053223,-351.0,,3,0.009674746077507734
1730257026.405381,rays-3,1000,1730257012.470411,2.561122244488978,0.5,6,500,364,False,0,x86_64,1,0.11303047509863973,728,364,0.0765459188260138,0.07642841339111328,-361.0,,0.11665226006880403,728,364,0.08157234266400337,0.0814516544342041,-361.0,,3,0.009161923080682755
1730257026.936514,rays-3,1000,1730257012.470411,2.5721442885771544,0.5,6,500,373,False,0,x86_64,1,0.11330245714634657,746,373,0.07760734064504504,0.07748627662658691,-370.0,,0.11762199876829982,746,373,0.07358606811612844,0.07346343994140625,-370.0,,3,0.00977126695215702
1730257027.461895,rays-3,1000,1730257012.470411,2.5831663326653307,0.5,6,500,382,False,0,x86_64,1,0.11474135983735323,764,382,0.07974377227947116,0.0796201229095459,-379.0,,0.11765701696276665,764,382,0.07940905494615436,0.07928586006164551,-379.0,,3,0.009660676121711731
1730257028.004943,rays-3,1000,1730257012.470411,2.594188376753507,0.5,6,500,392,False,0,x86_64,1,0.11613063095137477,784,392,0.08485864894464612,0.08475947380065918,-389.0,,0.11866247421130538,784,392,0.09610345494002104,0.09598135948181152,-389.0,,3,0.009555262047797441
1730257028.60156,rays-3,1000,1730257012.470411,2.6052104208416833,0.5,6,500,402,False,0,x86_64,1,0.11836147401481867,804,402,0.0877138371579349,0.08758378028869629,-399.0,,0.12129864282906055,804,402,0.09218241600319743,0.0920555591583252,-399.0,,3,0.009673618711531162
1730257029.170631,rays-3,1000,1730257012.470411,2.61623246492986,0.5,6,500,413,False,0,x86_64,1,0.12065750081092119,826,413,0.08646219270303845,0.0863337516784668,-410.0,,0.1253098240122199,826,413,0.07628682488575578,0.07615804672241211,-410.0,,3,0.00994549784809351
1730257029.741649,rays-3,1000,1730257012.470411,2.6272545090180364,0.5,6,500,423,False,0,x86_64,1,0.121466641779989,846,423,0.0797013039700687,0.07957029342651367,-420.0,,0.12486948911100626,846,423,0.14397583715617657,0.14383625984191895,-420.0,,3,0.00981997000053525
1730257030.372219,rays-3,1000,1730257012.470411,2.6382765531062127,0.5,6,500,434,False,0,x86_64,1,0.12354702223092318,868,434,0.08637785771861672,0.08623790740966797,-431.0,,0.12634929595515132,868,434,0.19337753485888243,0.19324946403503418,-431.0,,3,0.010129788890480995
1730257031.054556,rays-3,1000,1730257012.470411,2.649298597194389,0.5,6,500,445,False,0,x86_64,1,0.1250932547263801,890,445,0.08252924680709839,0.08239984512329102,-442.0,,0.1266593411564827,890,445,0.07333500403910875,0.07320952415466309,-442.0,,3,0.01018683984875679
1730257031.617469,rays-3,1000,1730257012.470411,2.6603206412825653,0.5,6,500,457,False,0,x86_64,1,0.12604241585358977,914,457,0.08909443020820618,0.08893704414367676,-454.0,,0.12880246620625257,914,457,0.1220873505808413,0.12196207046508789,-454.0,,3,0.010405308566987514
1730257032.247126,rays-3,1000,1730257012.470411,2.6713426853707416,0.5,6,500,469,False,0,x86_64,1,0.12835499178618193,938,469,0.08346956968307495,0.08334469795227051,-466.0,,0.13098043762147427,938,469,0.1873936071060598,0.18724679946899414,-466.0,,3,0.00998468091711402
