instance timestamp,query,domain size,run id,itr exponent,itr start,itr end,itr num,tuples added,bag semantics,max bag size,processor,number_of_witnesses,lp_results: witness_computation_time,lp_results: number_of_witnesses,lp_results: number_of_tuples,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: GDP,lp_results: error,ilp_results: witness_computation_time,ilp_results: number_of_witnesses,ilp_results: number_of_tuples,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: GDP,ilp_results: error,specialized_swp: SWP,specialized_swp: Solve Time
1730231323.569113,hc-star-3,500,1730231284.420822,2.814629258517034,0.5,6,500,652,False,0,x86_64,1,0.1465225052088499,1266,633,0.4343019537627697,0.4340970516204834,-629.0,,0.1793992556631565,1266,633,0.6064533721655607,0.6063089370727539,-629.0,,4,0.01494797132909298
1730231325.237674,hc-star-3,500,1730231284.420822,2.8256513026052104,0.5,6,500,669,False,0,x86_64,3,0.1587935946881771,1300,650,0.8512232340872288,0.8510875701904297,-638.0,,0.18210892379283905,1300,650,0.4312751144170761,0.43114781379699707,-638.0,,12,0.030752815306186676
1730231327.203208,hc-star-3,500,1730231284.420822,2.836673346693387,0.5,6,500,686,False,0,x86_64,3,0.1552655454725027,1328,664,0.6061128005385399,0.6059768199920654,-652.0,,0.18468549847602844,1328,664,0.629688449203968,0.629584550857544,-652.0,,12,0.03216097690165043
1730231329.136846,hc-star-3,500,1730231284.420822,2.8476953907815634,0.5,6,500,704,False,0,x86_64,3,0.15958379209041595,1362,681,0.4586814120411873,0.45854830741882324,-669.0,,0.18455608189105988,1362,681,0.46903564408421516,0.468902587890625,-669.0,,12,0.031762171536684036
1730231330.749935,hc-star-3,500,1730231284.420822,2.8587174348697397,0.5,6,500,722,False,0,x86_64,4,0.1556804310530424,1394,697,0.5909147243946791,0.5907800197601318,-681.0,,0.194995004683733,1394,697,0.4030124209821224,0.40288543701171875,-681.0,,16,0.04126208648085594
1730231332.424138,hc-star-3,500,1730231284.420822,2.869739478957916,0.5,6,500,740,False,0,x86_64,4,0.16785447113215923,1428,714,0.5013457741588354,0.5012176036834717,-698.0,,0.19308075308799744,1428,714,0.5227071307599545,0.522580623626709,-698.0,,16,0.041243769228458405
1730231334.209115,hc-star-3,500,1730231284.420822,2.8807615230460923,0.5,6,500,759,False,0,x86_64,4,0.16598313115537167,1462,731,0.37429135106503963,0.3741648197174072,-715.0,,0.19264191575348377,1462,731,0.3758922591805458,0.3757627010345459,-715.0,,16,0.04171878844499588
1730231335.70039,hc-star-3,500,1730231284.420822,2.8917835671342687,0.5,6,500,779,False,0,x86_64,5,0.16618787683546543,1498,749,0.8702409379184246,0.8701086044311523,-729.0,,0.19162688218057156,1498,749,0.8105184938758612,0.8103878498077393,-729.0,,20,0.0495610348880291
1730231338.094117,hc-star-3,500,1730231284.420822,2.902805611222445,0.5,6,500,799,False,0,x86_64,5,0.1838933639228344,1538,769,0.9833998121321201,0.9832899570465088,-749.0,,0.19600243121385574,1538,769,0.6316326409578323,0.6315007209777832,-749.0,,20,0.05096360296010971
1730231340.423518,hc-star-3,500,1730231284.420822,2.9138276553106213,0.5,6,500,820,False,0,x86_64,5,0.1748315915465355,1578,789,0.6874110288918018,0.6872587203979492,-769.0,,0.19729612208902836,1578,789,0.4019703231751919,0.40182995796203613,-769.0,,20,0.05154301971197128
1730231342.231718,hc-star-3,500,1730231284.420822,2.9248496993987976,0.5,6,500,841,False,0,x86_64,5,0.1699261274188757,1616,808,0.3797209020704031,0.37958836555480957,-788.0,,0.1944366954267025,1616,808,0.5760204996913671,0.5758838653564453,-788.0,,20,0.05068881809711456
1730231343.941219,hc-star-3,500,1730231284.420822,2.935871743486974,0.5,6,500,862,False,0,x86_64,9,0.17959807440638542,1656,828,0.3252308387309313,0.32509756088256836,-800.0,,0.1998598538339138,1656,828,0.45998054556548595,0.4598422050476074,-800.0,,28,0.07012774050235748
1730231345.562634,hc-star-3,500,1730231284.420822,2.9468937875751506,0.5,6,500,884,False,0,x86_64,9,0.17916737496852875,1694,847,0.42622506245970726,0.42609071731567383,-819.0,,0.20481585524976254,1694,847,0.3889978565275669,0.38889074325561523,-819.0,,28,0.06999825872480869
1730231347.148759,hc-star-3,500,1730231284.420822,2.957915831663327,0.5,6,500,907,False,0,x86_64,12,0.1836348045617342,1740,870,0.4858818929642439,0.48575448989868164,-834.0,,0.21014992892742157,1740,870,0.7566502559930086,0.7565162181854248,-834.0,,36,0.08569427207112312
1730231349.187096,hc-star-3,500,1730231284.420822,2.9689378757515033,0.5,6,500,930,False,0,x86_64,15,0.18532799556851387,1786,893,0.5878844261169434,0.587740421295166,-849.0,,0.20882012322545052,1786,893,-1,-1,-1,PuLP: Error while trying to execute gurobi_cl,44,0.10720702819526196
1730231351.081541,hc-star-3,500,1730231284.420822,2.9799599198396796,0.5,6,500,954,False,0,x86_64,16,0.18885535560548306,1832,916,2.0903734881430864,2.0902183055877686,-868.0,,0.21384693309664726,1832,916,0.9543646331876516,0.954232931137085,-868.0,,48,0.11310148425400257
