instance timestamp,query,domain size,run id,itr exponent,itr start,itr end,itr num,tuples added,bag semantics,max bag size,processor,number_of_witnesses,lp_results: witness_computation_time,lp_results: number_of_witnesses,lp_results: number_of_tuples,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: GDP,lp_results: error,ilp_results: witness_computation_time,ilp_results: number_of_witnesses,ilp_results: number_of_tuples,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: GDP,ilp_results: error,specialized_swp: SWP,specialized_swp: Solve Time
1730237090.86311,hc-star-5,1000,1730231339.517283,4.3687374749499,0.5,6,500,23374,False,0,x86_64,893817,136.30294864065945,40894,20447,52.831054918468,52.83092927932739,-15149.0,,136.10995678044856,40894,20447,71.99964503012598,71.99951505661011,-15149.0,,5298,100.47088348120451
1730237670.569259,hc-star-5,1000,1730231339.517283,4.3797595190380765,0.5,6,500,23975,False,0,x86_64,1008987,152.9991843625903,41878,20939,60.074435111135244,60.074185609817505,-15545.0,,153.44606512598693,41878,20939,80.55057572200894,80.55045199394226,-15545.0,,5394,104.75168979726732
1730238315.401401,hc-star-5,1000,1730231339.517283,4.390781563126253,0.5,6,500,24591,False,0,x86_64,1148373,233.5510125681758,42900,21450,69.7920400891453,69.79178190231323,-15990.0,,175.68286880850792,42900,21450,92.95103088952601,92.95090246200562,-15990.0,,5460,106.16725184768438
1730239132.110038,hc-star-5,1000,1730231339.517283,4.401803607214429,0.5,6,500,25223,False,0,x86_64,1290248,219.48676851578057,43948,21974,78.07697223499417,78.0768313407898,-16484.0,,216.14559384062886,43948,21974,238.16510168649256,238.16494798660278,-16484.0,,5490,109.96103137545288
1730240113.085474,hc-star-5,1000,1730231339.517283,4.412825651302605,0.5,6,500,25871,False,0,x86_64,1465677,301.754685183987,45016,22508,451.1688874270767,451.15824794769287,-16976.0,,194.1066688336432,45016,22508,100.59292197227478,100.59281730651855,-16976.0,,5532,94.85110501945019
1730241402.554947,hc-star-5,1000,1730231339.517283,4.423847695390782,0.5,6,500,26536,False,0,x86_64,1647201,218.69897391833365,46090,23045,85.68403896130621,85.68392610549927,-17459.0,,242.6925093960017,46090,23045,122.09222370944917,122.09209489822388,-17459.0,,5586,115.61718516424298
1730242323.351017,hc-star-5,1000,1730231339.517283,4.434869739478958,0.5,6,500,27218,False,0,x86_64,1883323,284.7180176861584,47252,23626,112.23707843385637,112.23693418502808,-17980.0,,287.055216550827,47252,23626,146.3641711473465,146.36403584480286,-17980.0,,5646,122.0179632846266
1730243448.882135,hc-star-5,1000,1730231339.517283,4.445891783567134,0.5,6,500,27918,False,0,x86_64,2151774,327.1324139740318,48430,24215,127.85546146146953,127.85528779029846,-18539.0,,324.9769407156855,48430,24215,170.03315828368068,170.0330183506012,-18539.0,,5676,125.11092102341354
1730244722.772556,hc-star-5,1000,1730231339.517283,4.456913827655311,0.5,6,500,28636,False,0,x86_64,2434533,367.6485368013382,49620,24810,146.59007244743407,146.58993411064148,-19086.0,,367.9945575427264,49620,24810,198.31261874362826,198.31243586540222,-19086.0,,5724,131.07279818318784
1730246166.180553,hc-star-5,1000,1730231339.517283,4.467935871743487,0.5,6,500,29372,False,0,x86_64,2776143,420.48669859953225,50860,25430,170.90889084339142,170.90873837471008,-19646.0,,420.80104736983776,50860,25430,226.67046649195254,226.67033171653748,-19646.0,,5784,136.1115188729018
1730247812.028674,hc-star-5,1000,1730231339.517283,4.478957915831664,0.5,6,500,30127,False,0,x86_64,3154904,478.5603435803205,52104,26052,200.12192755565047,200.12166810035706,-20256.0,,475.216416509822,52104,26052,262.40523249283433,262.40496706962585,-20256.0,,5796,140.223666081205
1730249674.861446,hc-star-5,1000,1730231339.517283,4.48997995991984,0.5,6,500,30901,False,0,x86_64,3584007,542.7060433644801,53396,26698,233.18658941984177,233.18644523620605,-20878.0,,542.210661187768,53396,26698,304.9309903886169,304.9307301044464,-20878.0,,5820,143.80327055044472
1730251796.640184,hc-star-5,1000,1730231339.517283,4.501002004008016,0.5,6,500,31695,False,0,x86_64,4077560,619.2075628805906,54716,27358,271.41534954309464,271.4151713848114,-21520.0,,618.4236170686781,54716,27358,376.10439020581543,376.10420393943787,-21520.0,,5838,155.5425483211875
1730256621.887763,hc-star-5,1000,1730256592.460033,3.1893787575150303,0.5,6,500,1546,False,0,x86_64,1,0.3190517988987267,3028,1514,0.1836687410250306,0.18348932266235352,-1508.0,,0.3246062211692333,3028,1514,0.17354055400937796,0.1734297275543213,-1508.0,,6,0.024536984972655773
1730256623.299637,hc-star-5,1000,1730256592.460033,3.2004008016032066,0.5,6,500,1586,False,0,x86_64,1,0.32634096406400204,3104,1552,0.24664137233048677,0.24654674530029297,-1546.0,,0.3300866945646703,3104,1552,0.15085373492911458,0.150742769241333,-1546.0,,6,0.024888974614441395
1730256624.777381,hc-star-5,1000,1730256592.460033,3.211422845691383,0.5,6,500,1627,False,0,x86_64,1,0.33153104642406106,3182,1591,0.23046851204708219,0.2303311824798584,-1585.0,,0.33085461892187595,3182,1591,0.30985673470422626,0.30974459648132324,-1585.0,,6,0.025145952124148607
1730256626.376879,hc-star-5,1000,1730256592.460033,3.2224448897795592,0.5,6,500,1668,False,0,x86_64,1,0.33247520914301276,3258,1629,0.38286483008414507,0.3827707767486572,-1623.0,,0.34140794072300196,3258,1629,0.261205883231014,0.261091947555542,-1623.0,,6,0.02554074488580227
1730256628.125906,hc-star-5,1000,1730256592.460033,3.2334669338677355,0.5,6,500,1711,False,0,x86_64,1,0.34269287483766675,3342,1671,0.4190070233307779,0.4188857078552246,-1665.0,,0.3477220986969769,3342,1671,0.40320128994062543,0.4030876159667969,-1665.0,,6,0.025876843836158514
1730256630.064266,hc-star-5,1000,1730256592.460033,3.244488977955912,0.5,6,500,1755,False,0,x86_64,1,0.3494784659706056,3424,1712,0.18034440884366632,0.18023300170898438,-1706.0,,0.36973098386079073,3424,1712,0.20333721488714218,0.20323681831359863,-1706.0,,6,0.02641529915854335
1730256631.583016,hc-star-5,1000,1730256592.460033,3.255511022044088,0.5,6,500,1800,False,0,x86_64,1,0.35555335879325867,3504,1752,0.312771778088063,0.31265902519226074,-1746.0,,0.36101318011060357,3504,1752,0.3278262922540307,0.3277115821838379,-1746.0,,6,0.02653767727315426
1730256633.38081,hc-star-5,1000,1730256592.460033,3.2665330661322645,0.5,6,500,1847,False,0,x86_64,1,0.3595249350182712,3594,1797,0.18525714613497257,0.18514633178710938,-1791.0,,0.3680540849454701,3594,1797,0.20636962680146098,0.20627689361572266,-1791.0,,6,0.02695072814822197
1730256634.973282,hc-star-5,1000,1730256592.460033,3.277555110220441,0.5,6,500,1894,False,0,x86_64,1,0.37012245412915945,3684,1842,0.43505514692515135,0.43492722511291504,-1836.0,,0.3690405418165028,3684,1842,0.33661539014428854,0.33649611473083496,-1836.0,,6,0.027390542905777693
1730256636.929742,hc-star-5,1000,1730256592.460033,3.2885771543086175,0.5,6,500,1943,False,0,x86_64,1,0.37645765393972397,3778,1889,0.5433850581757724,0.5432634353637695,-1883.0,,0.3808706859126687,3778,1889,0.4090062500908971,0.4089064598083496,-1883.0,,6,0.027480479329824448
1730256639.116142,hc-star-5,1000,1730256592.460033,3.299599198396794,0.5,6,500,1993,False,0,x86_64,2,0.37577942572534084,3878,1939,0.3404519814066589,0.3403339385986328,-1933.0,,0.3890974367968738,3878,1939,0.412727280985564,0.412614107131958,-1933.0,,6,0.02899552835151553
