instance timestamp,query,domain size,run id,itr exponent,itr start,itr end,itr num,tuples added,bag semantics,max bag size,processor,number_of_witnesses,k (percent),lp_results: witness_computation_time,lp_results: number_of_witnesses,lp_results: number_of_tuples,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: GDP,lp_results: error,ilp_results: witness_computation_time,ilp_results: number_of_witnesses,ilp_results: number_of_tuples,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: GDP,ilp_results: error,specialized_adp: ADP,specialized_adp: contingency set,specialized_adp: Solve Time
1730239455.635725,rsa,500,1730232154.345474,4.73246492985972,0.5,6,500,54008,False,0,x86_64,601002,1,66.10043295286596,0,35198,124.86038789153099,124.8578736782074,1.0,,66.36740327998996,0,35198,541.2180827446282,540.256424665451,1.0,,1,"['A(63,)']",15.01732811704278
1730242453.101268,rsa,500,1730232154.345474,4.743486973947896,0.5,6,500,55397,False,0,x86_64,631543,1,83.52374714054167,0,36063,128.2069070097059,128.20663595199585,1.0,,69.33816893957555,0,36063,69.39787567034364,69.39772129058838,1.0,,1,"['A(63,)']",0.4215374942868948
1730242867.438426,rsa,500,1730232154.345474,4.754509018036073,0.5,6,500,56821,False,0,x86_64,664362,1,73.52806417830288,0,36975,140.75829310156405,140.75814580917358,1.0,,73.05553328432143,0,36975,73.46037694625556,73.46022701263428,1.0,,1,"['A(63,)']",0.433095196262002
1730243294.839919,rsa,500,1730232154.345474,4.765531062124249,0.5,6,500,58281,False,0,x86_64,698106,1,76.72668949142098,0,37892,156.6977251842618,156.69756293296814,1.0,,76.08986364677548,0,37892,76.57293629832566,76.57277822494507,1.0,,1,"['A(63,)']",0.4405572135001421
1730243749.83985,rsa,500,1730232154.345474,4.776553106212425,0.5,6,500,59779,False,0,x86_64,732681,1,80.76175160892308,0,38807,165.21384346298873,165.21368861198425,1.0,,79.83939391747117,0,38807,81.28247606940567,81.28231954574585,1.0,,1,"['A(63,)']",0.4457771126180887
1730244229.549506,rsa,500,1730232154.345474,4.787575150300602,0.5,6,500,61316,False,0,x86_64,769390,1,83.80222590826452,0,39749,177.11808350495994,177.11792278289795,1.0,,84.38385323993862,0,39749,77.39525952190161,77.39497232437134,1.0,,1,"['A(63,)']",0.4487383048981428
1730244727.773077,rsa,500,1730232154.345474,4.798597194388778,0.5,6,500,62892,False,0,x86_64,808196,1,88.22604036703706,0,40729,190.86927497014403,190.86912035942078,1.0,,88.07350232824683,0,40729,82.19885349087417,82.19869041442871,1.0,,1,"['A(63,)']",0.4799223057925701
1730245256.616361,rsa,500,1730232154.345474,4.809619238476954,0.5,6,500,64508,False,0,x86_64,848079,1,91.94975316338241,0,41706,207.57937182113528,207.5791039466858,1.0,,92.22557150386274,0,41706,86.2963034864515,86.29602289199829,1.0,,1,"['A(63,)']",0.4816809147596359
1730245817.689076,rsa,500,1730232154.345474,4.820641282565131,0.5,6,500,66166,False,0,x86_64,890443,1,97.18524368107319,0,42723,222.20707504078746,222.2068076133728,1.0,,97.35490676946938,0,42723,92.24422117322683,92.2440595626831,1.0,,1,"['A(63,)']",0.4874600488692522
1730246413.691653,rsa,500,1730232154.345474,4.831663326653307,0.5,6,500,67867,False,0,x86_64,934169,1,101.39273746497929,0,43748,238.8390616159886,238.83891344070435,1.0,,100.30508913099766,0,43748,101.71817013248801,101.71788835525513,1.0,,1,"['A(63,)']",0.498967494815588
1730247046.451924,rsa,500,1730232154.345474,4.842685370741483,0.5,6,500,69612,False,0,x86_64,981005,1,105.21658091619611,0,44813,257.71709878370166,257.7169463634491,1.0,,106.74086606130004,0,44813,99.62254790775478,99.62239527702332,1.0,,1,"['A(63,)']",0.4990084767341614
