OP_CARRIER,ORIGIN,DEST,COST,IS_POPULAR
AA,ORD,ATL,1,0
AA,TPA,DCA,1,0
AA,CLT,FLL,1,0
AA,PHX,SJC,1,0
AA,SJC,PHX,1,0
AA,CLT,DEN,1,0
AA,OAK,PHX,1,0
AA,CLT,ATL,1,0
AA,SEA,DFW,1,0
AA,PHX,PHL,1,0
AA,CLT,ORF,1,0
AA,ORF,CLT,1,0
AA,PHX,SAN,1,0
AA,SAN,PHX,1,0
AA,PHL,LAX,1,0
AA,CLT,ORD,1,0
AA,LAX,CLT,1,0
AA,IND,PHX,1,0
AA,MIA,RDU,1,0
AA,RDU,MIA,1,0
AA,ORD,DFW,1,0
AA,PHL,ORD,1,0
AA,SAN,DFW,1,0
AA,PHX,CMH,1,0
AA,AUS,CLT,1,0
AA,PHX,AUS,1,0
AA,CLT,RDU,1,0
AA,SAT,PHX,1,0
AA,LAS,LAX,1,0
AA,LAX,LAS,1,0
AA,DFW,BUF,1,0
AA,DCA,TPA,1,0
AA,LAX,PHL,1,0
AA,PHX,CLT,1,0
AA,RDU,CLT,1,0
AA,PHX,DEN,1,0
AA,BUF,DFW,1,0
AA,CLT,DFW,1,0
AA,DFW,CLT,1,0
AA,MCO,PHL,1,0
AA,BWI,PHX,1,0
AA,PHX,RNO,1,0
AA,MSP,DFW,1,0
AA,MSP,PHL,1,0
AA,PHL,MSP,1,0
AA,SYR,CLT,1,0
AA,PHX,TPA,1,0
AA,MEM,CLT,1,0
AA,LAX,TUS,1,0
AA,TUS,LAX,1,0
AA,PHX,SMF,1,0
AA,SMF,PHX,1,0
AA,ABQ,DFW,1,0
AA,DFW,ABQ,1,0
AA,ORD,LAS,1,0
AA,SNA,DFW,1,0
AA,DFW,DSM,1,0
AA,DSM,DFW,1,0
AA,MIA,DFW,1,0
AA,DEN,ORD,1,0
AA,ORD,DEN,1,0
AA,DFW,ONT,1,0
AA,RDU,DFW,1,0
AA,DFW,RSW,1,0
AA,ORD,EGE,1,0
AA,ATL,MIA,1,0
AA,MIA,ATL,1,0
AA,DFW,ICT,1,0
AA,DFW,SMF,1,0
AA,MCI,DFW,1,0
AA,DFW,SJU,1,0
AA,DFW,TUS,1,0
AA,TUS,DFW,1,0
AA,EWR,ORD,1,0
AA,PHX,SNA,1,0
AA,SNA,PHX,1,0
AA,STT,PHL,1,0
AA,MIA,BWI,1,0
AA,DFW,MEM,1,0
AA,MEM,DFW,1,0
AA,ORD,MIA,1,0
AA,SLC,DFW,1,0
AA,LAX,STL,1,0
AA,STL,LAX,1,0
AA,ORD,PHL,1,0
AA,DFW,DTW,1,0
AA,DFW,JAX,1,0
AA,LGA,MIA,1,0
AA,EGE,ORD,1,0
AA,DTW,MIA,1,0
AA,MIA,DTW,1,0
AA,MSY,ORD,1,0
AA,AUS,JFK,1,0
AA,JFK,AUS,1,0
AA,MIA,TPA,1,0
AA,TPA,MIA,1,0
AA,DFW,EGE,1,0
AA,EGE,DFW,1,0
AA,DFW,ORD,1,0
AA,LGA,DFW,1,0
AA,SEA,JFK,1,0
AA,ORD,CLT,1,0
AA,LAS,DFW,1,0
AA,BOS,DFW,1,0
AA,PHL,STT,1,0
AA,ORD,MCO,1,0
AA,DFW,BOI,1,0
AA,LAX,DCA,1,0
AA,LAX,SFO,1,0
AA,SFO,LAX,1,0
AA,BOI,DFW,1,0
AA,DFW,MSY,1,0
AA,MSY,DFW,1,0
AA,BWI,MIA,1,0
AA,DFW,MCO,1,0
AA,MIA,BOS,1,0
AA,ORD,FLL,1,0
AA,LAX,MIA,1,0
AA,DFW,LAX,1,0
AA,DFW,FLL,1,0
AA,DFW,MIA,1,0
AA,ORD,TUS,1,0
AA,LAS,DCA,1,0
AA,FLL,DFW,1,0
AA,DTW,DFW,1,0
AA,ORD,RSW,1,0
AA,RSW,ORD,1,0
AA,MIA,LAX,1,0
AA,DFW,SLC,1,0
AA,DFW,SAN,1,0
AA,JFK,MIA,1,0
AA,MIA,JFK,1,0
AA,ORD,STL,1,0
AA,STL,PHX,1,0
AA,ORD,BWI,1,0
AA,PDX,DFW,1,0
AA,DFW,BOS,1,0
AA,LAX,MSY,1,0
AA,MSY,LAX,1,0
AA,BWI,ORD,1,0
AA,MCO,MIA,1,0
AA,MIA,MCO,1,0
AA,ORD,SEA,1,0
AA,DFW,ORF,1,0
AA,BOS,PHX,1,0
AA,SNA,ORD,1,0
AA,AUS,DFW,1,0
AA,DFW,AUS,1,0
AA,DFW,JAC,1,0
AA,DFW,MTJ,1,0
AA,MTJ,DFW,1,0
AA,DFW,LAS,1,0
AA,LAX,ATL,1,0
AA,ORD,PBI,1,0
AA,SEA,CLT,1,0
AA,GEG,PHX,1,0
AA,CLT,BNA,1,0
AA,ONT,PHX,1,0
AA,CLT,SRQ,1,0
AA,SRQ,CLT,1,0
AA,CLT,SMF,1,0
AA,DFW,TPA,1,0
AA,TPA,DFW,1,0
AA,IND,LAX,1,0
AA,PHX,IND,1,0
AA,CLT,SEA,1,0
AA,TPA,CLT,1,0
AA,OMA,PHX,1,0
AA,PHX,OMA,1,0
AA,DEN,CLT,1,0
AA,BDL,CLT,1,0
AA,CLT,BDL,1,0
AA,DFW,ATL,1,0
AA,CLT,IAH,1,0
AA,CLT,LAS,1,0
AA,PHL,CLT,1,0
AA,CLT,LAX,1,0
AA,LGA,CLT,1,0
AA,PVD,CLT,1,0
AA,PHX,ONT,1,0
AA,BNA,PHL,1,0
AA,PHX,TUS,1,0
AA,TUS,PHX,1,0
AA,SAN,CLT,1,0
AA,ILM,CLT,1,0
AA,PHL,BOS,1,0
AA,CLT,AUS,1,0
AA,OGG,PHX,1,0
AA,PHX,SLC,1,0
AA,SLC,PHX,1,0
AA,CLT,MSY,1,0
AA,CHS,CLT,1,0
AA,CLT,CHS,1,0
AA,PHL,PBI,1,0
AA,PHX,KOA,1,0
AA,KOA,PHX,1,0
AA,PHX,MKE,1,0
AA,PHX,LIH,1,0
AA,LIH,PHX,1,0
AA,PHL,SFO,1,0
AA,PHL,SJU,1,0
AA,DCA,PHX,1,0
AA,PHX,DCA,1,0
AA,PBI,CLT,1,0
AA,BOS,PHL,1,0
AA,HNL,PHX,1,0
AA,PHX,HNL,1,0
AA,CLT,SAN,1,0
AA,RNO,PHX,1,0
AA,SFO,PHL,1,0
AA,DEN,DFW,1,0
AA,CLT,BUF,1,0
AA,DFW,DEN,1,0
AA,PHX,SEA,1,0
AA,CLT,PVD,1,0
AA,DFW,PHL,1,0
AA,CLT,SLC,1,0
AA,CLT,SAT,1,0
AA,SAT,CLT,1,0
AA,FLL,PHL,1,0
AA,PIT,PHL,1,0
AA,PWM,CLT,1,0
AA,SJU,CLT,1,0
AA,DFW,RIC,1,0
AA,RIC,DFW,1,0
AA,CLT,RSW,1,0
AA,RSW,CLT,1,0
